mmsdm_month,quarter,tranche,contract_id,version_no,interconnector_id,from_region,units_offered,units_sold,clearing_price,reserve_price
2026-05,C2025Q3,T11,C2025Q3T11,2,VIC1-NSW1,VIC1,286,129,21520.02,0.0
2026-05,C2025Q4,T10,C2025Q4T10,2,NSW1-QLD1,NSW1,46,45,10532.0,0.0
2026-05,C2025Q2,T12,C2025Q2T12,2,V-SA,SA1,118,75,6371.56,0.0
2026-05,C2025Q2,T12,C2025Q2T12,2,V-SA,VIC1,139,84,15912.92,0.0
2026-05,C2025Q2,T12,C2025Q2T12,2,VIC1-NSW1,NSW1,211,122,4500.0,0.0
2026-05,C2025Q2,T12,C2025Q2T12,2,VIC1-NSW1,VIC1,294,133,17618.0,0.0
2026-05,C2025Q3,T11,C2025Q3T11,2,NSW1-QLD1,NSW1,59,45,5000.0,0.0
2026-05,C2025Q3,T11,C2025Q3T11,2,NSW1-QLD1,QLD1,205,124,34502.14,0.0
2026-05,C2025Q2,T12,C2025Q2T12,2,NSW1-QLD1,NSW1,65,55,5500.0,0.0
2026-05,C2025Q2,T12,C2025Q2T12,2,NSW1-QLD1,QLD1,206,122,37529.51,0.0
2026-05,C2025Q3,T11,C2025Q3T11,2,V-SA,VIC1,144,111,17000.91,0.0
2026-05,C2025Q3,T11,C2025Q3T11,2,V-SA,SA1,178,90,6220.06,0.0
2026-05,C2025Q3,T11,C2025Q3T11,2,VIC1-NSW1,NSW1,235,113,4449.12,0.0
2026-05,C2027Q3,T03,C2027Q3T03,2,NSW1-QLD1,NSW1,62,62,5055.51,0.0
2026-05,C2027Q2,T04,C2027Q2T04,2,VIC1-NSW1,NSW1,108,108,2773.56,0.0
2026-05,C2026Q3,T07,C2026Q3T07,2,NSW1-QLD1,NSW1,45,45,5832.05,0.0
2026-05,C2026Q2,T08,C2026Q2T08,2,VIC1-NSW1,VIC1,251,125,18834.81,0.0
2026-05,C2026Q3,T07,C2026Q3T07,2,NSW1-QLD1,QLD1,148,103,34000.0,0.0
2026-05,C2026Q2,T08,C2026Q2T08,2,VIC1-NSW1,NSW1,134,108,3306.0,0.0
2026-05,C2027Q4,T02,C2027Q4T02,2,VIC1-NSW1,NSW1,108,108,1853.0,0.0
2026-05,C2027Q3,T03,C2027Q3T03,2,VIC1-NSW1,NSW1,108,108,2976.22,0.0
2026-05,C2027Q3,T03,C2027Q3T03,2,V-SA,VIC1,75,73,11503.0,0.0
2026-05,C2027Q3,T03,C2027Q3T03,2,V-SA,SA1,70,70,5414.85,0.0
2026-05,C2025Q4,T10,C2025Q4T10,2,NSW1-QLD1,QLD1,203,104,22000.16,0.0
2026-05,C2025Q4,T10,C2025Q4T10,2,V-SA,SA1,131,91,5103.0,0.0
2026-05,C2027Q1,T05,C2027Q1T05,2,VIC1-NSW1,VIC1,177,125,16862.34,0.0
2026-05,C2027Q1,T05,C2027Q1T05,2,VIC1-NSW1,NSW1,120,100,5536.0,0.0
2026-05,C2027Q2,T04,C2027Q2T04,2,NSW1-QLD1,NSW1,79,62,4730.25,0.0
2026-05,C2027Q2,T04,C2027Q2T04,2,NSW1-QLD1,QLD1,157,108,33680.5,0.0
2026-05,C2027Q2,T04,C2027Q2T04,2,V-SA,SA1,69,69,5103.0,0.0
2026-05,C2027Q2,T04,C2027Q2T04,2,V-SA,VIC1,96,73,11503.0,0.0
2026-05,C2027Q1,T05,C2027Q1T05,2,V-SA,SA1,69,64,5550.0,0.0
2026-05,C2026Q2,T08,C2026Q2T08,2,NSW1-QLD1,NSW1,45,45,5079.64,0.0
2026-05,C2026Q1,T09,C2026Q1T09,2,VIC1-NSW1,VIC1,194,125,17998.56,0.0
2026-05,C2026Q1,T09,C2026Q1T09,2,VIC1-NSW1,NSW1,172,108,6000.0,0.0
2026-05,C2026Q2,T08,C2026Q2T08,2,NSW1-QLD1,QLD1,151,106,34944.0,0.0
2026-05,C2026Q2,T08,C2026Q2T08,2,V-SA,SA1,78,73,5118.0,0.0
2026-05,C2026Q2,T08,C2026Q2T08,2,V-SA,VIC1,125,75,14256.0,0.0
2026-05,C2026Q4,T06,C2026Q4T06,2,VIC1-NSW1,NSW1,108,108,2038.3,0.0
2026-05,C2026Q4,T06,C2026Q4T06,2,V-SA,VIC1,95,95,13015.21,0.0
2026-05,C2027Q1,T05,C2027Q1T05,2,NSW1-QLD1,NSW1,45,45,18525.32,0.0
2026-05,C2026Q4,T06,C2026Q4T06,2,VIC1-NSW1,VIC1,202,125,17150.0,0.0
2026-05,C2027Q1,T05,C2027Q1T05,2,NSW1-QLD1,QLD1,120,100,21924.0,0.0
2026-05,C2027Q1,T05,C2027Q1T05,2,V-SA,VIC1,93,73,21836.31,0.0
2026-05,C2026Q3,T07,C2026Q3T07,2,VIC1-NSW1,NSW1,112,108,3353.0,0.0
2026-05,C2026Q3,T07,C2026Q3T07,2,VIC1-NSW1,VIC1,246,125,19894.0,0.0
2026-05,C2026Q4,T06,C2026Q4T06,2,NSW1-QLD1,QLD1,123,100,18907.0,0.0
2026-05,C2026Q4,T06,C2026Q4T06,2,V-SA,SA1,91,86,5103.0,0.0
2026-05,C2027Q2,T04,C2027Q2T04,2,VIC1-NSW1,VIC1,154,125,15737.7,0.0
2026-05,C2027Q3,T03,C2027Q3T03,2,VIC1-NSW1,VIC1,152,125,18303.0,0.0
2026-05,C2027Q3,T03,C2027Q3T03,2,NSW1-QLD1,QLD1,135,108,33771.85,0.0
2026-05,C2027Q4,T02,C2027Q4T02,2,V-SA,SA1,64,64,5251.77,0.0
2026-05,C2027Q4,T02,C2027Q4T02,2,V-SA,VIC1,72,72,11103.0,0.0
2026-05,C2028Q1,T01,C2028Q1T01,2,NSW1-QLD1,NSW1,62,62,17525.32,0.0
2026-05,C2027Q4,T02,C2027Q4T02,2,VIC1-NSW1,VIC1,127,125,16203.0,0.0
2026-05,C2028Q1,T01,C2028Q1T01,2,NSW1-QLD1,QLD1,108,108,21875.32,0.0
2026-05,C2028Q1,T01,C2028Q1T01,2,VIC1-NSW1,NSW1,108,108,4500.72,0.0
