mmsdm_month,quarter,tranche,contract_id,version_no,interconnector_id,from_region,units_offered,units_sold,clearing_price,reserve_price
2024-09,C2026Q1,T07,C2026Q1T07,1,V-SA,SA1,71,71,6503.9,0.0
2024-09,C2025Q2,T10,C2025Q2T10,1,VIC1-NSW1,VIC1,315,136,19400.9,0.0
2024-09,C2025Q2,T10,C2025Q2T10,1,VIC1-NSW1,NSW1,275,113,3226.0,0.0
2024-09,C2025Q3,T09,C2025Q3T09,1,NSW1-QLD1,NSW1,49,45,4432.56,0.0
2024-09,C2024Q4,T12,C2024Q4T12,1,V-SA,VIC1,130,80,15082.85,0.0
2024-09,C2025Q4,T08,C2025Q4T08,1,VIC1-NSW1,VIC1,233,125,13970.05,0.0
2024-09,C2025Q2,T10,C2025Q2T10,1,V-SA,SA1,110,66,5606.0,0.0
2024-09,C2024Q4,T12,C2024Q4T12,1,NSW1-QLD1,NSW1,77,55,10000.0,0.0
2024-09,C2024Q4,T12,C2024Q4T12,1,NSW1-QLD1,QLD1,320,105,18755.0,0.0
2024-09,C2024Q4,T12,C2024Q4T12,1,V-SA,SA1,162,76,5474.7,0.0
2024-09,C2025Q1,T11,C2025Q1T11,1,NSW1-QLD1,QLD1,191,105,21432.59,0.0
2024-09,C2027Q3,T01,C2027Q3T01,1,VIC1-NSW1,VIC1,125,125,13248.0,0.0
2024-09,C2026Q1,T07,C2026Q1T07,1,VIC1-NSW1,NSW1,168,108,4600.35,0.0
2024-09,C2025Q1,T11,C2025Q1T11,1,VIC1-NSW1,VIC1,282,135,18054.75,0.0
2024-09,C2024Q4,T12,C2024Q4T12,1,VIC1-NSW1,VIC1,410,130,18001.0,0.0
2024-09,C2025Q1,T11,C2025Q1T11,1,NSW1-QLD1,NSW1,83,45,23755.0,0.0
2024-09,C2026Q1,T07,C2026Q1T07,1,NSW1-QLD1,QLD1,167,113,22680.0,0.0
2024-09,C2025Q3,T09,C2025Q3T09,1,VIC1-NSW1,VIC1,303,125,20500.0,0.0
2024-09,C2025Q4,T08,C2025Q4T08,1,V-SA,SA1,158,74,4851.77,0.0
2024-09,C2025Q4,T08,C2025Q4T08,1,NSW1-QLD1,QLD1,197,105,17767.0,0.0
2024-09,C2024Q4,T12,C2024Q4T12,1,VIC1-NSW1,NSW1,183,114,2231.25,0.0
2024-09,C2025Q3,T09,C2025Q3T09,1,VIC1-NSW1,NSW1,237,112,3198.44,0.0
2024-09,C2025Q2,T10,C2025Q2T10,1,NSW1-QLD1,QLD1,225,100,29200.23,0.0
2024-09,C2025Q1,T11,C2025Q1T11,1,VIC1-NSW1,NSW1,235,110,5392.78,0.0
2024-09,C2025Q2,T10,C2025Q2T10,1,NSW1-QLD1,NSW1,55,45,4404.97,0.0
2024-09,C2025Q1,T11,C2025Q1T11,1,V-SA,VIC1,135,82,27247.0,0.0
2024-09,C2025Q1,T11,C2025Q1T11,1,V-SA,SA1,114,72,7365.0,0.0
2024-09,C2026Q1,T07,C2026Q1T07,1,V-SA,VIC1,93,73,21120.63,0.0
2024-09,C2025Q3,T09,C2025Q3T09,1,V-SA,VIC1,117,73,16898.38,0.0
2024-09,C2025Q4,T08,C2025Q4T08,1,V-SA,VIC1,114,73,13520.1,0.0
2024-09,C2026Q1,T07,C2026Q1T07,1,NSW1-QLD1,NSW1,45,45,18005.0,0.0
2024-09,C2025Q4,T08,C2025Q4T08,1,VIC1-NSW1,NSW1,150,120,2216.16,0.0
2024-09,C2025Q2,T10,C2025Q2T10,1,V-SA,VIC1,113,73,16908.0,0.0
2024-09,C2025Q4,T08,C2025Q4T08,1,NSW1-QLD1,NSW1,46,45,8603.0,0.0
2024-09,C2026Q3,T05,C2026Q3T05,1,NSW1-QLD1,NSW1,47,45,4174.28,0.0
2024-09,C2026Q3,T05,C2026Q3T05,1,V-SA,VIC1,98,73,15300.01,0.0
2024-09,C2026Q2,T06,C2026Q2T06,1,V-SA,SA1,73,64,4436.0,0.0
2024-09,C2026Q2,T06,C2026Q2T06,1,V-SA,VIC1,100,73,15288.0,0.0
2024-09,C2026Q3,T05,C2026Q3T05,1,VIC1-NSW1,VIC1,225,125,17150.0,0.0
2024-09,C2026Q2,T06,C2026Q2T06,1,VIC1-NSW1,NSW1,131,109,2579.56,0.0
2024-09,C2026Q2,T06,C2026Q2T06,1,NSW1-QLD1,QLD1,159,103,30576.0,0.0
2024-09,C2026Q2,T06,C2026Q2T06,1,VIC1-NSW1,VIC1,187,125,16926.05,0.0
2024-09,C2026Q2,T06,C2026Q2T06,1,NSW1-QLD1,NSW1,45,45,4353.3,0.0
2024-09,C2026Q3,T05,C2026Q3T05,1,VIC1-NSW1,NSW1,109,109,2782.22,0.0
2024-09,C2026Q1,T07,C2026Q1T07,1,VIC1-NSW1,VIC1,207,125,16696.25,0.0
2024-09,C2026Q3,T05,C2026Q3T05,1,NSW1-QLD1,QLD1,149,100,32080.23,0.0
2024-09,C2027Q1,T03,C2027Q1T03,1,V-SA,SA1,65,65,5929.0,0.0
2024-09,C2027Q1,T03,C2027Q1T03,1,V-SA,VIC1,93,73,16903.0,0.0
2024-09,C2027Q1,T03,C2027Q1T03,1,NSW1-QLD1,QLD1,138,100,19440.0,0.0
2024-09,C2027Q2,T02,C2027Q2T02,1,VIC1-NSW1,NSW1,108,108,1618.13,0.0
2024-09,C2027Q1,T03,C2027Q1T03,1,VIC1-NSW1,NSW1,128,108,4128.3,0.0
2024-09,C2027Q2,T02,C2027Q2T02,1,V-SA,SA1,64,64,4767.0,0.0
2024-09,C2027Q1,T03,C2027Q1T03,1,VIC1-NSW1,VIC1,165,125,14100.0,0.0
2024-09,C2027Q3,T01,C2027Q3T01,1,VIC1-NSW1,NSW1,108,108,2303.0,0.0
2024-09,C2025Q3,T09,C2025Q3T09,1,V-SA,SA1,170,73,5754.7,0.0
2024-09,C2025Q3,T09,C2025Q3T09,1,NSW1-QLD1,QLD1,193,100,30200.23,0.0
2024-09,C2026Q3,T05,C2026Q3T05,1,V-SA,SA1,94,64,4857.6,0.0
2024-09,C2027Q2,T02,C2027Q2T02,1,NSW1-QLD1,NSW1,69,62,3363.97,0.0
