mmsdm_month,quarter,tranche,contract_id,version_no,interconnector_id,from_region,units_offered,units_sold,clearing_price,reserve_price
2021-06,C2021Q3,T12,C2021Q3T12,1,NSW1-QLD1,NSW1,105,55,2125.0,0.0
2021-06,C2021Q3,T12,C2021Q3T12,1,NSW1-QLD1,QLD1,252,134,10346.29,0.0
2021-06,C2021Q3,T12,C2021Q3T12,1,V-SA,SA1,134,66,4404.0,0.0
2021-06,C2021Q3,T12,C2021Q3T12,1,V-SA,VIC1,248,100,3500.0,0.0
2021-06,C2021Q3,T12,C2021Q3T12,1,VIC1-NSW1,NSW1,316,112,1006.0,0.0
2021-06,C2021Q3,T12,C2021Q3T12,1,VIC1-NSW1,VIC1,200,152,11396.0,0.0
2021-06,C2021Q4,T11,C2021Q4T11,1,NSW1-QLD1,NSW1,148,45,2218.0,0.0
2021-06,C2021Q4,T11,C2021Q4T11,1,NSW1-QLD1,QLD1,292,103,9780.23,0.0
2021-06,C2021Q4,T11,C2021Q4T11,1,V-SA,SA1,123,64,4816.92,0.0
2021-06,C2021Q4,T11,C2021Q4T11,1,V-SA,VIC1,134,86,5996.06,0.0
2021-06,C2021Q4,T11,C2021Q4T11,1,VIC1-NSW1,NSW1,168,108,754.0,0.0
2021-06,C2021Q4,T11,C2021Q4T11,1,VIC1-NSW1,VIC1,227,145,11721.25,0.0
2021-06,C2022Q1,T10,C2022Q1T10,1,NSW1-QLD1,NSW1,55,45,5267.0,0.0
2021-06,C2022Q1,T10,C2022Q1T10,1,NSW1-QLD1,QLD1,234,101,16460.75,0.0
2021-06,C2022Q1,T10,C2022Q1T10,1,V-SA,SA1,114,64,5707.0,0.0
2021-06,C2022Q1,T10,C2022Q1T10,1,V-SA,VIC1,103,73,8775.0,0.0
2021-06,C2022Q1,T10,C2022Q1T10,1,VIC1-NSW1,NSW1,176,108,5028.0,0.0
2021-06,C2022Q1,T10,C2022Q1T10,1,VIC1-NSW1,VIC1,301,125,15434.0,0.0
2021-06,C2022Q2,T09,C2022Q2T09,1,NSW1-QLD1,NSW1,110,45,1814.0,0.0
2021-06,C2022Q2,T09,C2022Q2T09,1,NSW1-QLD1,QLD1,192,120,11340.0,0.0
2021-06,C2022Q2,T09,C2022Q2T09,1,V-SA,SA1,108,64,3456.67,0.0
2021-06,C2022Q2,T09,C2022Q2T09,1,V-SA,VIC1,177,91,4700.93,0.0
2021-06,C2022Q2,T09,C2022Q2T09,1,VIC1-NSW1,NSW1,308,108,750.39,0.0
2021-06,C2022Q2,T09,C2022Q2T09,1,VIC1-NSW1,VIC1,175,138,11258.58,0.0
2021-06,C2022Q3,T08,C2022Q3T08,1,NSW1-QLD1,NSW1,80,45,1626.04,0.0
2021-06,C2022Q3,T08,C2022Q3T08,1,NSW1-QLD1,QLD1,195,101,13635.0,0.0
2021-06,C2022Q3,T08,C2022Q3T08,1,V-SA,SA1,130,64,4404.0,0.0
2021-06,C2022Q3,T08,C2022Q3T08,1,V-SA,VIC1,147,83,4774.0,0.0
2021-06,C2022Q3,T08,C2022Q3T08,1,VIC1-NSW1,NSW1,271,108,675.39,0.0
2021-06,C2022Q3,T08,C2022Q3T08,1,VIC1-NSW1,VIC1,219,125,11253.52,0.0
2021-06,C2022Q4,T07,C2022Q4T07,1,NSW1-QLD1,NSW1,55,45,2818.17,0.0
2021-06,C2022Q4,T07,C2022Q4T07,1,NSW1-QLD1,QLD1,236,101,11340.54,0.0
2021-06,C2022Q4,T07,C2022Q4T07,1,V-SA,SA1,105,64,4558.0,0.0
2021-06,C2022Q4,T07,C2022Q4T07,1,V-SA,VIC1,145,78,5961.6,0.0
2021-06,C2022Q4,T07,C2022Q4T07,1,VIC1-NSW1,NSW1,181,108,750.39,0.0
2021-06,C2022Q4,T07,C2022Q4T07,1,VIC1-NSW1,VIC1,217,125,13870.0,0.0
2021-06,C2023Q1,T06,C2023Q1T06,1,NSW1-QLD1,NSW1,55,45,5111.08,0.0
2021-06,C2023Q1,T06,C2023Q1T06,1,NSW1-QLD1,QLD1,248,100,16688.0,0.0
2021-06,C2023Q1,T06,C2023Q1T06,1,V-SA,SA1,87,64,5404.0,0.0
2021-06,C2023Q1,T06,C2023Q1T06,1,V-SA,VIC1,87,73,8400.96,0.0
2021-06,C2023Q1,T06,C2023Q1T06,1,VIC1-NSW1,NSW1,113,108,4752.0,0.0
2021-06,C2023Q1,T06,C2023Q1T06,1,VIC1-NSW1,VIC1,160,125,15641.97,0.0
2021-06,C2023Q2,T05,C2023Q2T05,1,NSW1-QLD1,NSW1,52,45,1205.0,0.0
2021-06,C2023Q2,T05,C2023Q2T05,1,NSW1-QLD1,QLD1,165,100,14906.89,0.0
2021-06,C2023Q2,T05,C2023Q2T05,1,V-SA,SA1,118,64,3225.85,0.0
2021-06,C2023Q2,T05,C2023Q2T05,1,V-SA,VIC1,117,79,3675.94,0.0
2021-06,C2023Q2,T05,C2023Q2T05,1,VIC1-NSW1,NSW1,281,108,652.0,0.0
2021-06,C2023Q2,T05,C2023Q2T05,1,VIC1-NSW1,VIC1,201,125,11878.0,0.0
2021-06,C2023Q3,T04,C2023Q3T04,1,NSW1-QLD1,NSW1,52,45,1226.0,0.0
2021-06,C2023Q3,T04,C2023Q3T04,1,NSW1-QLD1,QLD1,136,111,15300.29,0.0
2021-06,C2023Q3,T04,C2023Q3T04,1,V-SA,SA1,104,64,4014.0,0.0
2021-06,C2023Q3,T04,C2023Q3T04,1,V-SA,VIC1,83,73,4050.0,0.0
2021-06,C2023Q3,T04,C2023Q3T04,1,VIC1-NSW1,NSW1,188,108,675.39,0.0
2021-06,C2023Q3,T04,C2023Q3T04,1,VIC1-NSW1,VIC1,205,125,11712.8,0.0
2021-06,C2023Q4,T03,C2023Q4T03,1,NSW1-QLD1,NSW1,45,45,2476.65,0.0
2021-06,C2023Q4,T03,C2023Q4T03,1,NSW1-QLD1,QLD1,120,100,14572.8,0.0
2021-06,C2023Q4,T03,C2023Q4T03,1,V-SA,SA1,84,64,4247.0,0.0
2021-06,C2023Q4,T03,C2023Q4T03,1,V-SA,VIC1,76,73,4200.97,0.0
2021-06,C2023Q4,T03,C2023Q4T03,1,VIC1-NSW1,NSW1,128,108,744.75,0.0
