mmsdm_month,quarter,tranche,contract_id,version_no,interconnector_id,from_region,units_offered,units_sold,clearing_price,reserve_price
2025-09,C2026Q1,T11,C2026Q1T11,1,NSW1-QLD1,QLD1,155,100,24425.66,0.0
2025-09,C2026Q2,T10,C2026Q2T10,1,VIC1-NSW1,VIC1,201,129,17240.0,0.0
2025-09,C2028Q2,T02,C2028Q2T02,1,VIC1-NSW1,NSW1,108,108,3000.66,0.0
2025-09,C2026Q3,T09,C2026Q3T09,1,NSW1-QLD1,QLD1,140,100,32081.0,0.0
2025-09,C2028Q2,T02,C2028Q2T02,1,V-SA,VIC1,89,73,8503.0,0.0
2025-09,C2026Q2,T10,C2026Q2T10,1,NSW1-QLD1,QLD1,162,100,34345.4,0.0
2025-09,C2028Q2,T02,C2028Q2T02,1,V-SA,SA1,64,64,3709.8,0.0
2025-09,C2027Q1,T07,C2027Q1T07,1,VIC1-NSW1,VIC1,187,125,13248.0,0.0
2025-09,C2027Q1,T07,C2027Q1T07,1,V-SA,VIC1,133,82,19564.88,0.0
2025-09,C2027Q1,T07,C2027Q1T07,1,NSW1-QLD1,QLD1,133,101,22680.0,0.0
2025-09,C2027Q1,T07,C2027Q1T07,1,NSW1-QLD1,NSW1,57,45,18648.9,0.0
2025-09,C2025Q4,T12,C2025Q4T12,1,V-SA,VIC1,114,77,9000.87,0.0
2025-09,C2025Q4,T12,C2025Q4T12,1,NSW1-QLD1,QLD1,170,100,24118.0,0.0
2025-09,C2027Q1,T07,C2027Q1T07,1,VIC1-NSW1,NSW1,136,108,5003.0,0.0
2025-09,C2025Q4,T12,C2025Q4T12,1,VIC1-NSW1,VIC1,293,131,19261.39,0.0
2025-09,C2028Q3,T01,C2028Q3T01,1,NSW1-QLD1,QLD1,108,108,30817.84,0.0
2025-09,C2026Q1,T11,C2026Q1T11,1,NSW1-QLD1,NSW1,82,55,21800.9,0.0
2025-09,C2025Q4,T12,C2025Q4T12,1,VIC1-NSW1,NSW1,157,124,2412.0,0.0
2025-09,C2028Q3,T01,C2028Q3T01,1,V-SA,VIC1,73,73,9253.0,0.0
2025-09,C2026Q2,T10,C2026Q2T10,1,V-SA,VIC1,115,77,13360.88,0.0
2025-09,C2026Q1,T11,C2026Q1T11,1,V-SA,SA1,89,64,5560.0,0.0
2025-09,C2026Q1,T11,C2026Q1T11,1,V-SA,VIC1,113,73,19160.88,0.0
2025-09,C2028Q2,T02,C2028Q2T02,1,VIC1-NSW1,VIC1,141,125,12400.87,0.0
2025-09,C2026Q4,T08,C2026Q4T08,1,V-SA,VIC1,103,75,10558.0,0.0
