quarter,interconnector_id,from_region,surplus_aud,total_units_sold,payout_per_unit,weighted_avg_clearing_price,alpha,alpha_pct
C2022Q3,V-SA,SA1,7126463.964700508,785.0,9078.298,6148.3933,2929.9047,47.65
C2022Q3,V-SA,VIC1,18431720.29356719,890.0,20709.7981,4187.6352,16522.1629,394.55
C2022Q3,VIC1-NSW1,NSW1,5307906.450111704,1327.0,3999.9295,1068.6703,2931.2592,274.29
C2022Q3,VIC1-NSW1,VIC1,59911339.20408951,1563.0,38330.9912,13062.5865,25268.4047,193.44
C2022Q4,NSW1-QLD1,NSW1,6852519.706485287,560.0,12236.6423,4996.8391,7239.8032,144.89
C2022Q4,NSW1-QLD1,QLD1,9227489.720064228,1221.0,7557.3216,11226.7107,-3669.3891,-32.68
C2022Q4,V-SA,SA1,6576202.650192937,770.0,8540.5229,6472.4868,2068.0361,31.95
C2022Q4,V-SA,VIC1,6566326.937572801,885.0,7419.5785,7088.6433,330.9352,4.67
C2022Q4,VIC1-NSW1,NSW1,-4863981.147837406,1313.0,-3704.4792,1212.8645,-4917.3437,-405.43
C2022Q4,VIC1-NSW1,VIC1,57677646.99605584,1553.0,37139.5023,18446.7283,18692.774,101.33
C2023Q1,NSW1-QLD1,NSW1,6069382.218041337,556.0,10916.1551,9890.7779,1025.3772,10.37
C2023Q1,NSW1-QLD1,QLD1,10908580.144720083,1290.0,8456.2637,15503.0922,-7046.8285,-45.45
C2023Q1,V-SA,SA1,2805843.01796376,813.0,3451.2214,6324.1488,-2872.9274,-45.43
C2023Q1,V-SA,VIC1,17710814.87730655,892.0,19855.1736,13998.2138,5856.9598,41.84
C2023Q1,VIC1-NSW1,NSW1,-5264409.493116269,1346.0,-3911.1512,5227.3601,-9138.5113,-174.82
C2023Q1,VIC1-NSW1,VIC1,31817980.351314608,1523.0,20891.6483,20955.7303,-64.082,-0.31
C2023Q2,NSW1-QLD1,NSW1,3501768.531071541,612.0,5721.844,3801.9449,1919.8991,50.5
C2023Q2,NSW1-QLD1,QLD1,26529408.222560786,1220.0,21745.4166,19206.0795,2539.3371,13.22
C2023Q2,V-SA,SA1,3281846.9601726984,827.0,3968.376,4236.5926,-268.2166,-6.33
C2023Q2,V-SA,VIC1,13951931.452838035,886.0,15747.101,8724.4432,7022.6578,80.49
C2023Q2,VIC1-NSW1,NSW1,-4405870.7970052585,1339.0,-3290.4188,1349.6716,-4640.0904,-343.79
C2023Q2,VIC1-NSW1,VIC1,57548328.261126496,1538.0,37417.6387,19734.8659,17682.7728,89.6
C2023Q3,NSW1-QLD1,NSW1,607863.2981703213,602.0,1009.7397,3892.8372,-2883.0975,-74.06
C2023Q3,NSW1-QLD1,QLD1,25990335.21781047,1222.0,21268.6868,19099.3488,2169.338,11.36
C2023Q3,V-SA,SA1,1876355.9321865076,778.0,2411.7686,5179.038,-2767.2694,-53.43
C2023Q3,V-SA,VIC1,19914932.884348292,885.0,22502.749,9591.1903,12911.5587,134.62
C2023Q3,VIC1-NSW1,NSW1,-1822836.869501408,1352.0,-1348.2521,1647.5357,-2995.7878,-181.83
C2023Q3,VIC1-NSW1,VIC1,48431962.36971674,1530.0,31654.8774,20643.835,11011.0424,53.34
C2023Q4,NSW1-QLD1,NSW1,10742348.950261572,572.0,18780.3303,7954.8564,10825.4739,136.09
C2023Q4,NSW1-QLD1,QLD1,17474150.40074117,1222.0,14299.6321,13855.0698,444.5623,3.21
C2023Q4,V-SA,SA1,3684022.1468346193,770.0,4784.4443,5279.7023,-495.258,-9.38
C2023Q4,V-SA,VIC1,4277646.006174742,885.0,4833.4983,9969.556,-5136.0577,-51.52
C2023Q4,VIC1-NSW1,NSW1,-12805471.920386976,1322.0,-9686.4387,1146.7844,-10833.2231,-944.66
C2023Q4,VIC1-NSW1,VIC1,26848922.29004141,1573.0,17068.6092,22877.543,-5808.9338,-25.39
C2024Q1,NSW1-QLD1,NSW1,16415831.541310042,599.0,27405.3949,13448.8555,13956.5394,103.77
C2024Q1,NSW1-QLD1,QLD1,16840567.156950008,1224.0,13758.6333,18170.2696,-4411.6363,-24.28
C2024Q1,V-SA,SA1,5324449.281049956,779.0,6834.9798,6244.4827,590.4971,9.46
C2024Q1,V-SA,VIC1,9707811.349509958,895.0,10846.7166,22530.8491,-11684.1325,-51.86
C2024Q1,VIC1-NSW1,NSW1,5741645.684040034,1309.0,4386.2839,4169.8422,216.4417,5.19
C2024Q1,VIC1-NSW1,VIC1,21692222.448550098,1558.0,13923.121,22985.5678,-9062.4468,-39.43
C2024Q2,NSW1-QLD1,NSW1,792262.9344900032,604.0,1311.6936,5263.5302,-3951.8366,-75.08
C2024Q2,NSW1-QLD1,QLD1,96724276.90978035,1225.0,78958.5934,23488.7049,55469.8885,236.16
C2024Q2,V-SA,SA1,2910207.4559099916,785.0,3707.2706,4369.8733,-662.6027,-15.16
