decision_timestamp,information_cutoff,source_timestamp_max,contract_id,product_id,quarter,tranche,tranche_no,interconnector_id,from_region,ruleset_id,units_offered,units_sold,fill_probability,fair_value_forecast,auction_clearing_price,final_realised_payout_per_unit,expected_alpha,confidence_band,forecast_error_to_clearing,forecast_error_to_realised,realised_alpha,source_lineage
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2018Q4T11,C2018Q4:VIC1-NSW1:NSW1:T11,C2018Q4,T11,11,VIC1-NSW1,NSW1,RS-BASELINE-v1,108,108,1.0,2348.45,2500.0,,-151.55000000000018,negative,-151.55000000000018,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2018Q4T11,C2018Q4:VIC1-NSW1:VIC1:T11,C2018Q4,T11,11,VIC1-NSW1,VIC1,RS-BASELINE-v1,125,125,1.0,3627.0,4011.0,,-384.0,negative,-384.0,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2018Q4T12,C2018Q4:NSW1-QLD1:NSW1:T12,C2018Q4,T12,12,NSW1-QLD1,NSW1,RS-BASELINE-v1,55,55,1.0,1290.0,666.66,,623.34,medium,623.34,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2018Q4T12,C2018Q4:NSW1-QLD1:QLD1:T12,C2018Q4,T12,12,NSW1-QLD1,QLD1,RS-BASELINE-v1,100,100,1.0,6523.0,7001.9,,-478.89999999999964,negative,-478.89999999999964,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2018Q4T12,C2018Q4:V-SA:SA1:T12,C2018Q4,T12,12,V-SA,SA1,RS-BASELINE-v1,66,66,1.0,3474.07,3446.0,,28.070000000000164,low,28.070000000000164,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2018Q4T12,C2018Q4:V-SA:VIC1:T12,C2018Q4,T12,12,V-SA,VIC1,RS-BASELINE-v1,77,77,1.0,3201.0,2501.55,,699.4499999999998,medium,699.4499999999998,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2018Q4T12,C2018Q4:VIC1-NSW1:NSW1:T12,C2018Q4,T12,12,VIC1-NSW1,NSW1,RS-BASELINE-v1,112,112,1.0,2500.0,2030.88,,469.1199999999999,low,469.1199999999999,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2018Q4T12,C2018Q4:VIC1-NSW1:VIC1:T12,C2018Q4,T12,12,VIC1-NSW1,VIC1,RS-BASELINE-v1,125,125,1.0,4011.0,5125.0,,-1114.0,negative,-1114.0,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q1T10,C2019Q1:NSW1-QLD1:NSW1:T10,C2019Q1,T10,10,NSW1-QLD1,NSW1,RS-BASELINE-v1,45,45,1.0,666.66,4390.0,,-3723.34,negative,-3723.34,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q1T10,C2019Q1:NSW1-QLD1:QLD1:T10,C2019Q1,T10,10,NSW1-QLD1,QLD1,RS-BASELINE-v1,100,100,1.0,7001.9,10750.0,,-3748.1000000000004,negative,-3748.1000000000004,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
