decision_timestamp,quarter,interconnector_id,from_region,product_id,tranche_no,confidence_band,split,max_bid,auction_clearing_price,final_realised_payout_per_unit,bid_units,executed_units,lock_days,acquisition_cost,realised_payout,realised_pnl,expected_alpha,realised_alpha,free_capital_after,portfolio_value_after
2021-02-01T00:00:00+00:00,C2020Q4,VIC1-NSW1,NSW1,C2020Q4:VIC1-NSW1:NSW1:T04,4,low,in_sample,2208.0,1999.0,-2695.2762,1,1,28,2013.2668356164384,-2695.2762,-4708.543035616438,209.0,-4694.2762,21328.245182876704,35538.142349999995
2021-02-01T00:00:00+00:00,C2021Q2,NSW1-QLD1,NSW1,C2021Q2:NSW1-QLD1:NSW1:T02,2,low,in_sample,915.0,427.02,17377.1655,4,4,212,1789.155304109589,69508.662,67719.5066958904,487.98,16950.1455,19539.089878767114,35538.142349999995
2021-02-01T00:00:00+00:00,C2021Q2,NSW1-QLD1,NSW1,C2021Q2:NSW1-QLD1:NSW1:T05,5,low,in_sample,671.01,218.4,17377.1655,4,4,212,915.0660821917809,69508.662,68593.59591780821,452.61,17158.765499999998,18624.023796575333,35538.142349999995
2021-02-01T00:00:00+00:00,C2021Q2,VIC1-NSW1,NSW1,C2021Q2:VIC1-NSW1:NSW1:T05,5,medium,in_sample,2184.0,1650.0,1637.3334,1,1,212,1728.318493150685,1637.3334,-90.98509315068509,534.0,-12.666600000000017,16895.70530342465,35538.142349999995
2021-02-01T00:00:00+00:00,C2021Q3,NSW1-QLD1,NSW1,C2021Q3:NSW1-QLD1:NSW1:T01,1,low,in_sample,773.0,502.0,554.484,3,3,303,1607.520904109589,1663.4520000000002,55.93109589041114,271.0,52.48400000000004,15288.18439931506,35538.142349999995
2021-02-01T00:00:00+00:00,C2022Q2,NSW1-QLD1,NSW1,C2022Q2:NSW1-QLD1:NSW1:T01,1,medium,in_sample,800.0,226.0,8151.1849,4,4,577,1019.2290410958905,32604.7396,31585.51055890411,574.0,7925.1849,14268.95535821917,35538.142349999995
2021-03-01T00:00:00+00:00,C2020Q2,NSW1-QLD1,NSW1,C2020Q2:NSW1-QLD1:NSW1:T08,8,low,in_sample,670.36,240.0,0.0,4,4,0,960.96,0.0,-960.96,430.36,-240.0,23336.460558219173,31356.710382876707
2021-03-01T00:00:00+00:00,C2020Q2,V-SA,VIC1,C2020Q2:V-SA:VIC1:T08,8,medium,in_sample,2810.51,1811.0,676.9195,1,1,0,1812.811,676.9195,-1135.8915,999.5100000000002,-1134.0805,21523.64955821917,30395.750382876708
2021-03-01T00:00:00+00:00,C2020Q2,VIC1-NSW1,NSW1,C2020Q2:VIC1-NSW1:NSW1:T08,8,medium,in_sample,2629.9849999999997,1638.0,343.3946,1,1,0,1639.638,343.3946,-1296.2433999999998,991.9849999999996,-1294.6054,20560.931058219172,29259.858882876706
2021-03-01T00:00:00+00:00,C2020Q3,NSW1-QLD1,NSW1,C2020Q3:NSW1-QLD1:NSW1:T07,7,low,in_sample,670.995,281.0,2.041,4,4,0,1125.124,8.164,-1116.96,389.995,-278.959,19779.20165821917,27963.615482876707
2021-03-01T00:00:00+00:00,C2020Q3,V-SA,VIC1,C2020Q3:V-SA:VIC1:T07,7,medium,in_sample,2923.3599999999997,1557.0,456.305,1,1,0,1558.557,456.305,-1102.252,1366.3599999999997,-1100.695,18228.80865821917,26846.655482876704
2021-03-01T00:00:00+00:00,C2020Q3,VIC1-NSW1,NSW1,C2020Q3:VIC1-NSW1:NSW1:T07,7,low,in_sample,2116.5,1656.0,3936.2897,1,1,0,1657.656,3936.2897,2278.6337,460.5,2280.2897,17027.457658219173,25744.403482876707
2021-03-01T00:00:00+00:00,C2020Q4,NSW1-QLD1,NSW1,C2020Q4:NSW1-QLD1:NSW1:T06,6,low,in_sample,1100.5,675.0,1725.8352,3,3,0,2027.025,5177.5056,3150.4806000000003,425.5,1050.8352,18936.72235821917,28023.037182876702
2021-03-01T00:00:00+00:00,C2020Q4,V-SA,VIC1,C2020Q4:V-SA:VIC1:T06,6,medium,in_sample,3404.35,2000.0,806.168,1,1,0,2002.0,806.168,-1195.8319999999999,1404.35,-1193.832,22112.22795821917,31173.517782876705
2021-03-01T00:00:00+00:00,C2020Q4,VIC1-NSW1,NSW1,C2020Q4:VIC1-NSW1:NSW1:T06,6,low,in_sample,2103.5,2000.0,-2695.2762,1,1,0,2002.0,-2695.2762,-4697.2762,103.5,-4695.2762,20916.39595821917,29977.685782876706
2021-03-01T00:00:00+00:00,C2021Q2,NSW1-QLD1,NSW1,C2021Q2:NSW1-QLD1:NSW1:T04,4,low,in_sample,671.01,300.0,17377.1655,4,4,184,1249.5945205479452,69508.662,68259.06747945205,371.01,17077.1655,16971.525237671227,25280.409582876706
2021-03-01T00:00:00+00:00,C2021Q2,VIC1-NSW1,NSW1,C2021Q2:VIC1-NSW1:NSW1:T04,4,medium,in_sample,2184.0,1638.0,1637.3334,1,1,184,1705.696520547945,1637.3334,-68.36312054794507,546.0,-0.6666000000000167,15265.828717123282,25280.40958287671
2021-09-01T00:00:00+00:00,C2020Q2,NSW1-QLD1,NSW1,C2020Q2:NSW1-QLD1:NSW1:T07,7,low,in_sample,670.36,381.0,0.0,4,4,0,1525.524,0.0,-1525.524,289.36,-381.0,225540.9575171233,229693.23146232875
2021-09-01T00:00:00+00:00,C2020Q2,NSW1-QLD1,QLD1,C2020Q2:NSW1-QLD1:QLD1:T07,7,medium,in_sample,10055.0,9279.0,6548.5769,2,2,0,18576.558,13097.1538,-5479.404200000001,776.0,-2730.4231,206964.3995171233,228167.70746232878
