C,NEMP.WORLD,SRBID,AEMO,PUBLIC,2025/06/16,14:26:39,0000000467959188,,0000000467959188
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,16505.64,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,5,16500,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,16498.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,2,16450,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,6,16298.5476,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,16254.29,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,5,16201.22,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,2,16135,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,10,16087.87,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,16002.94,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,5,16000.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,9,15795.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,15776.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,15774.32,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,15751.58,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,5,15668.23,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,8,15503,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,10,15503,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,15500.22,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,5,15497.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,2,15426,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,2,15338,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,15301.22,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,15,15288,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,15248.87,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,15057,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,15054.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,8,15003,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,10,15003,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,5,15000.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,14997.52,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,14831.14,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,9,14820.2560,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,14746.16,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,5,14664.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,14605.29,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,14494.80,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,14379.44,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,14371.02,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,14332.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,14243.45,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,2,14242,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,14153.58,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,14057,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,12,14020.2560,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,8,14003,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,10,14003,,A202506
