quarter,interconnector_id,from_region,surplus_aud
C2024Q3,N-Q-MNSP1,NSW1,34544.14386999998
C2024Q3,N-Q-MNSP1,QLD1,291215.3762799999
C2024Q3,NSW1-QLD1,NSW1,272584.3638799996
C2024Q3,NSW1-QLD1,QLD1,4056895.2704899954
C2024Q3,T-V-MNSP1,TAS1,0.0
C2024Q3,T-V-MNSP1,VIC1,0.0
C2024Q3,V-S-MNSP1,SA1,178092.5779599996
C2024Q3,V-S-MNSP1,VIC1,1639426.8023099997
C2024Q3,V-SA,SA1,1155414.1520100005
C2024Q3,V-SA,VIC1,26007397.885919932
C2024Q3,VIC1-NSW1,NSW1,-43293.2275500002
C2024Q3,VIC1-NSW1,VIC1,16686424.92284006
C2024Q4,N-Q-MNSP1,NSW1,148181.44888000004
C2024Q4,N-Q-MNSP1,QLD1,1039634.3123200008
C2024Q4,NSW1-QLD1,NSW1,2797713.7691800087
C2024Q4,NSW1-QLD1,QLD1,38612116.341330126
C2024Q4,T-V-MNSP1,TAS1,0.0
C2024Q4,T-V-MNSP1,VIC1,0.0
C2024Q4,V-S-MNSP1,SA1,114703.61652999987
C2024Q4,V-S-MNSP1,VIC1,1020694.9781100004
C2024Q4,V-SA,SA1,1981042.0895099998
C2024Q4,V-SA,VIC1,1990289.4857499995
C2024Q4,VIC1-NSW1,NSW1,-16552857.594300006
C2024Q4,VIC1-NSW1,VIC1,22573480.168919947
C2025Q1,N-Q-MNSP1,NSW1,26148.374789999998
C2025Q1,N-Q-MNSP1,QLD1,771335.2473399998
C2025Q1,NSW1-QLD1,NSW1,868388.4677500009
C2025Q1,NSW1-QLD1,QLD1,11346138.372870017
C2025Q1,T-V-MNSP1,TAS1,0.0
C2025Q1,T-V-MNSP1,VIC1,0.0
C2025Q1,V-S-MNSP1,SA1,29675.852270000014
C2025Q1,V-S-MNSP1,VIC1,111288.25286999882
C2025Q1,V-SA,SA1,292022.01017999975
C2025Q1,V-SA,VIC1,1270856.0844599993
C2025Q1,VIC1-NSW1,NSW1,-1389281.7345099975
C2025Q1,VIC1-NSW1,VIC1,7778468.7989000045
C2025Q2,N-Q-MNSP1,NSW1,35527.701440000084
C2025Q2,N-Q-MNSP1,QLD1,138933.76232999962
C2025Q2,NSW1-QLD1,NSW1,636514.6275099991
C2025Q2,NSW1-QLD1,QLD1,4375841.499970003
C2025Q2,T-V-MNSP1,TAS1,0.0
C2025Q2,T-V-MNSP1,VIC1,0.0
C2025Q2,V-S-MNSP1,SA1,46526.22014000001
C2025Q2,V-S-MNSP1,VIC1,1015764.2297799985
C2025Q2,V-SA,SA1,240493.89191999973
C2025Q2,V-SA,VIC1,4133345.46130001
C2025Q2,VIC1-NSW1,NSW1,-4577960.30129999
C2025Q2,VIC1-NSW1,VIC1,6488513.834189984
