quarter,interconnector_id,from_region,surplus_aud
C2024Q1,N-Q-MNSP1,NSW1,94079.55806000013
C2024Q1,N-Q-MNSP1,QLD1,671980.7506399999
C2024Q1,NSW1-QLD1,NSW1,2768891.8711
C2024Q1,NSW1-QLD1,QLD1,16272327.212200014
C2024Q1,T-V-MNSP1,TAS1,0.0
C2024Q1,T-V-MNSP1,VIC1,0.0
C2024Q1,V-S-MNSP1,SA1,11861.448519999989
C2024Q1,V-S-MNSP1,VIC1,445954.6464299996
C2024Q1,V-SA,SA1,4107075.105619994
C2024Q1,V-SA,VIC1,1402501.5325999998
C2024Q1,VIC1-NSW1,NSW1,11262048.086890008
C2024Q1,VIC1-NSW1,VIC1,4806814.336850013
C2024Q2,N-Q-MNSP1,NSW1,639.5051100000003
C2024Q2,N-Q-MNSP1,QLD1,4159392.9115200033
C2024Q2,NSW1-QLD1,NSW1,22514.086940000027
C2024Q2,NSW1-QLD1,QLD1,63869042.22902008
C2024Q2,T-V-MNSP1,TAS1,0.0
C2024Q2,T-V-MNSP1,VIC1,0.0
C2024Q2,V-S-MNSP1,SA1,75643.74263999987
C2024Q2,V-S-MNSP1,VIC1,167199.71092999988
C2024Q2,V-SA,SA1,1216757.9113499995
C2024Q2,V-SA,VIC1,524603.8698900011
C2024Q2,VIC1-NSW1,NSW1,-2265510.773879997
C2024Q2,VIC1-NSW1,VIC1,4876718.935089996
C2024Q3,N-Q-MNSP1,NSW1,83873.57578000017
C2024Q3,N-Q-MNSP1,QLD1,1868700.20352
C2024Q3,NSW1-QLD1,NSW1,836074.4937899994
C2024Q3,NSW1-QLD1,QLD1,36962024.44355984
C2024Q3,T-V-MNSP1,TAS1,0.0
C2024Q3,T-V-MNSP1,VIC1,0.0
C2024Q3,V-S-MNSP1,SA1,1942813.7724199963
C2024Q3,V-S-MNSP1,VIC1,2712139.8368400023
C2024Q3,V-SA,SA1,5803959.63996001
C2024Q3,V-SA,VIC1,30277125.762739986
C2024Q3,VIC1-NSW1,NSW1,699143.530990001
C2024Q3,VIC1-NSW1,VIC1,32161456.296820022
