quarter,interconnector_id,from_region,surplus_aud
C2020Q4,N-Q-MNSP1,NSW1,7205.22639
C2020Q4,N-Q-MNSP1,QLD1,15968.76904000001
C2020Q4,NSW1-QLD1,NSW1,42441.11862000001
C2020Q4,NSW1-QLD1,QLD1,107891.98828
C2020Q4,T-V-MNSP1,TAS1,0.0
C2020Q4,T-V-MNSP1,VIC1,0.0
C2020Q4,V-S-MNSP1,SA1,120064.03709000007
C2020Q4,V-S-MNSP1,VIC1,15011.7068
C2020Q4,V-SA,SA1,765346.0158399999
C2020Q4,V-SA,VIC1,42000.075419999994
C2020Q4,VIC1-NSW1,NSW1,-129915.67852999999
C2020Q4,VIC1-NSW1,VIC1,2917384.0359100015
C2021Q1,N-Q-MNSP1,NSW1,0.0
C2021Q1,N-Q-MNSP1,QLD1,6471.97623
C2021Q1,NSW1-QLD1,NSW1,0.0
C2021Q1,NSW1-QLD1,QLD1,42328.53990000002
C2021Q1,T-V-MNSP1,TAS1,0.0
C2021Q1,T-V-MNSP1,VIC1,0.0
C2021Q1,V-S-MNSP1,SA1,0.0
C2021Q1,V-S-MNSP1,VIC1,66162.00706999999
C2021Q1,V-SA,SA1,0.0
C2021Q1,V-SA,VIC1,268076.03651999997
C2021Q1,VIC1-NSW1,NSW1,19203.691280000006
C2021Q1,VIC1-NSW1,VIC1,880.42328
