quarter,interconnector_id,from_region,surplus_aud
C2021Q4,N-Q-MNSP1,NSW1,495396.08238401986
C2021Q4,N-Q-MNSP1,QLD1,11801.503304379985
C2021Q4,NSW1-QLD1,NSW1,2792760.3540560906
C2021Q4,NSW1-QLD1,QLD1,47135.128428209966
C2021Q4,T-V-MNSP1,TAS1,0.0
C2021Q4,T-V-MNSP1,VIC1,0.0
C2021Q4,V-S-MNSP1,SA1,1097.1904174799997
C2021Q4,V-S-MNSP1,VIC1,1366469.922851029
C2021Q4,V-SA,SA1,661042.7975300296
C2021Q4,V-SA,VIC1,7329389.747976708
C2021Q4,VIC1-NSW1,NSW1,-85551.92861489
C2021Q4,VIC1-NSW1,VIC1,6394254.382055044
C2022Q1,N-Q-MNSP1,NSW1,31325.830213769983
C2022Q1,N-Q-MNSP1,QLD1,1161.32552794
C2022Q1,NSW1-QLD1,NSW1,204215.97650406
C2022Q1,NSW1-QLD1,QLD1,9249.122901559998
C2022Q1,T-V-MNSP1,TAS1,0.0
C2022Q1,T-V-MNSP1,VIC1,0.0
C2022Q1,V-S-MNSP1,SA1,0.0
C2022Q1,V-S-MNSP1,VIC1,107927.66045056994
C2022Q1,V-SA,SA1,859.4931403999999
C2022Q1,V-SA,VIC1,391886.65751393005
C2022Q1,VIC1-NSW1,NSW1,-3769.115351329999
C2022Q1,VIC1-NSW1,VIC1,512759.2576865498
