quarter,interconnector_id,from_region,surplus_aud
C2024Q2,N-Q-MNSP1,NSW1,-4.275830000000001
C2024Q2,N-Q-MNSP1,QLD1,4836876.6091099745
C2024Q2,NSW1-QLD1,NSW1,2423.9293399999997
C2024Q2,NSW1-QLD1,QLD1,68015038.46942057
C2024Q2,T-V-MNSP1,TAS1,0.0
C2024Q2,T-V-MNSP1,VIC1,0.0
C2024Q2,V-S-MNSP1,SA1,68739.80028999994
C2024Q2,V-S-MNSP1,VIC1,375082.11687000014
C2024Q2,V-SA,SA1,518459.73897
C2024Q2,V-SA,VIC1,864436.8514399992
C2024Q2,VIC1-NSW1,NSW1,-1015473.0782900056
C2024Q2,VIC1-NSW1,VIC1,6712991.715749975
C2024Q3,N-Q-MNSP1,NSW1,18860.470899999975
C2024Q3,N-Q-MNSP1,QLD1,1549181.3422400006
C2024Q3,NSW1-QLD1,NSW1,1633676.359119998
C2024Q3,NSW1-QLD1,QLD1,36422766.92372979
C2024Q3,T-V-MNSP1,TAS1,0.0
C2024Q3,T-V-MNSP1,VIC1,0.0
C2024Q3,V-S-MNSP1,SA1,1775471.5804999995
C2024Q3,V-S-MNSP1,VIC1,6298752.963680007
C2024Q3,V-SA,SA1,5336186.205869995
C2024Q3,V-SA,VIC1,6895876.219040009
C2024Q3,VIC1-NSW1,NSW1,3508317.938770009
C2024Q3,VIC1-NSW1,VIC1,14307769.973809952
C2024Q4,N-Q-MNSP1,NSW1,243777.35222000006
C2024Q4,N-Q-MNSP1,QLD1,1123864.7272500058
C2024Q4,NSW1-QLD1,NSW1,5725565.255969986
C2024Q4,NSW1-QLD1,QLD1,41693015.511839814
C2024Q4,T-V-MNSP1,TAS1,0.0
C2024Q4,T-V-MNSP1,VIC1,0.0
C2024Q4,V-S-MNSP1,SA1,203179.58608999976
C2024Q4,V-S-MNSP1,VIC1,1529450.043359998
C2024Q4,V-SA,SA1,2736835.087080004
C2024Q4,V-SA,VIC1,3216427.5214299792
C2024Q4,VIC1-NSW1,NSW1,-23886339.88286009
C2024Q4,VIC1-NSW1,VIC1,33301041.661939997
