C,NEMP.WORLD,SROFFER,AEMO,PUBLIC,2024/12/16,14:18:39,0000000443573031,,0000000443573031
I,RESIDUE_PRICE_OFFER,,1,:AUCTIONID,TRANCHEID,INTERCONNECTORID,FROMREGIONID,OFFERUNITS,OFFERPRICE
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,NSW1,1,28756
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,NSW1,2,30768.92
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,NSW1,2,32922.7444
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,NSW1,2,35227.336510
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,NSW1,2,37693.250060
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,NSW1,2,40331.777570
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,NSW1,38,35000
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,NSW1,55,0
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,33680.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,34360.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,35040.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,35720.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,36400.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,37080.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,37760.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,38440.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,39120.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,39800.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,40480.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,41160.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,41840.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,42520.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,43200.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,43880.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,44560.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,45240.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,45920.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,46600.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,47280.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,47960.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,48640.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,49320.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,1,50000.51
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,2,27647.4785
D,RESIDUE_PRICE_OFFER,,1,A202412,C2025Q1T12,NSW1-QLD1,QLD1,2,33100.51
