C,NEMP.WORLD,SROFFER,AEMO,PUBLIC,2024/03/15,14:55:45,0000000413785061,,0000000413785061
I,RESIDUE_PRICE_OFFER,,1,:AUCTIONID,TRANCHEID,INTERCONNECTORID,FROMREGIONID,OFFERUNITS,OFFERPRICE
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,NSW1,4,8500
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,NSW1,9,7000.66
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,NSW1,55,0
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,20100.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,20200.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,20300.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,20400.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,20500.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,20600.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,20700.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,20800.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,20900.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,21000.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,21100.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,21200.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,21300.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,21400.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,21500.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,21600.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,21700.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,21800.89
D,RESIDUE_PRICE_OFFER,,1,A202403,C2024Q2T12,NSW1-QLD1,QLD1,1,21900.89
