month,dataset,dataset_status,rows,files,min_interval,max_interval,blocker
2020-05,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2020-05,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2020-05,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2020-06,DISPATCHPRICE,MISSING,0,,,,
2020-06,DISPATCHREGIONSUM,MISSING,0,,,,
2020-06,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2020-06,DISPATCHCONSTRAINT,AVAILABLE,8640,1.0,2020-05-31T14:05:00Z,2020-06-30T14:00:00Z,
2020-06,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2020-06,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2020-06,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2020-06,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2020-06,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2020-06,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2020-07,DISPATCHPRICE,MISSING,0,,,,
2020-07,DISPATCHREGIONSUM,MISSING,0,,,,
2020-07,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2020-07,DISPATCHCONSTRAINT,AVAILABLE,8928,1.0,2020-06-30T14:05:00Z,2020-07-31T14:00:00Z,
2020-07,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2020-07,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2020-07,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
