month,schema_version,column_count,schema_signature,schema_integrity
2021-01,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2021-02,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2021-03,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2021-04,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2021-05,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2021-06,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2021-07,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2021-08,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2021-09,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2021-10,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2021-11,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2021-12,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2022-01,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2022-02,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2022-03,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2022-04,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2022-05,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
