month,schema_version,column_count,schema_signature,schema_integrity
2025-10,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2025-11,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2025-12,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2026-01,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2026-02,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2026-03,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2026-04,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2026-05,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2026-06,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2026-07,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
