month,dataset,dataset_status,lineage_hash,source_lineage_complete
2020-09,DISPATCH_UNIT_SCADA,MISSING,,False
2020-09,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2020-09,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2020-09,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2020-09,WEATHER,BLOCKED_EXTERNAL,,True
2020-09,FCAS,BLOCKED_EXTERNAL,,True
2020-10,DISPATCHPRICE,MISSING,,False
2020-10,DISPATCHREGIONSUM,MISSING,,False
2020-10,DISPATCHINTERCONNECTORRES,MISSING,,False
2020-10,DISPATCHCONSTRAINT,AVAILABLE,507e2063acc0659fc71e13a5c86047d2b5e97380363ef0e6411aa5f0d03f0cd4,True
2020-10,DISPATCH_UNIT_SCADA,MISSING,,False
2020-10,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2020-10,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2020-10,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2020-10,WEATHER,BLOCKED_EXTERNAL,,True
2020-10,FCAS,BLOCKED_EXTERNAL,,True
2020-11,DISPATCHPRICE,MISSING,,False
2020-11,DISPATCHREGIONSUM,MISSING,,False
2020-11,DISPATCHINTERCONNECTORRES,MISSING,,False
2020-11,DISPATCHCONSTRAINT,AVAILABLE,2e2bb5bda73479380f0dca369bddd82698cd912e6791bef85132988c70f12018,True
2020-11,DISPATCH_UNIT_SCADA,MISSING,,False
2020-11,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2020-11,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2020-11,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2020-11,WEATHER,BLOCKED_EXTERNAL,,True
2020-11,FCAS,BLOCKED_EXTERNAL,,True
2020-12,DISPATCHPRICE,MISSING,,False
2020-12,DISPATCHREGIONSUM,MISSING,,False
2020-12,DISPATCHINTERCONNECTORRES,MISSING,,False
2020-12,DISPATCHCONSTRAINT,AVAILABLE,4f86d6eea55f57298a865f28e353fb5c46bc7cc39b0830efed8a6a0e92b6a119,True
2020-12,DISPATCH_UNIT_SCADA,MISSING,,False
2020-12,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
