month,rows,interval_coverage_pct,duplicate_canonical_keys,quality_mean,quality_p05,quality_p95,publication_lag_mean_minutes,publication_lag_p95_minutes,publication_lag_max_minutes,pit_integrity
2020-01,8929,100.0,0,83.32396711837832,83.3333,83.3333,0.0,0.0,0.0,True
2020-02,8353,100.0,0,83.32332354842569,83.3333,83.3333,0.0,0.0,0.0,True
2020-03,8929,100.0,0,83.32396711837832,83.3333,83.3333,0.0,0.0,0.0,True
2020-04,8641,100.0,0,83.32365605832658,83.3333,83.3333,0.0,0.0,0.0,True
2020-05,8929,100.0,0,83.32396711837832,83.3333,83.3333,0.0,0.0,0.0,True
2020-06,8641,100.0,0,66.65898483971763,66.6667,66.6667,0.0,0.0,0.0,True
2020-07,8929,100.0,0,66.65923368798298,66.6667,66.6667,0.0,0.0,0.0,True
2020-08,8929,100.0,0,66.65923368798298,66.6667,66.6667,0.0,0.0,0.0,True
2020-09,8641,100.0,0,66.65898483971763,66.6667,66.6667,0.0,0.0,0.0,True
2020-10,8929,100.0,0,66.65923368798298,66.6667,66.6667,0.0,0.0,0.0,True
2020-11,8641,100.0,0,66.65898483971763,66.6667,66.6667,0.0,0.0,0.0,True
2020-12,8929,100.0,0,66.65923368798298,66.6667,66.6667,0.0,0.0,0.0,True
2021-01,8929,100.0,0,66.65923368798298,66.6667,66.6667,0.0,0.0,0.0,True
2021-02,8065,100.0,0,66.65843382517049,66.6667,66.6667,0.0,0.0,0.0,True
2021-03,8929,100.0,0,66.65923368798298,66.6667,66.6667,0.0,0.0,0.0,True
2021-04,8641,100.0,0,66.65898483971763,66.6667,66.6667,0.0,0.0,0.0,True
2021-05,8929,100.0,0,66.65923368798298,66.6667,66.6667,0.0,0.0,0.0,True
2021-06,8641,100.0,0,66.65898483971763,66.6667,66.6667,0.0,0.0,0.0,True
2021-07,8929,100.0,0,66.65923368798298,66.6667,66.6667,0.0,0.0,0.0,True
2021-08,8929,100.0,0,66.65923368798298,66.6667,66.6667,0.0,0.0,0.0,True
2021-09,8641,100.0,0,66.65898483971763,66.6667,66.6667,0.0,0.0,0.0,True
2021-10,8929,100.0,0,66.65923368798298,66.6667,66.6667,0.0,0.0,0.0,True
2021-11,8641,100.0,0,66.65898483971763,66.6667,66.6667,0.0,0.0,0.0,True
2021-12,8929,100.0,0,66.65923368798298,66.6667,66.6667,0.0,0.0,0.0,True
2022-01,480577,100.0,0,,,,0.0,0.0,0.0,True
2022-02,471649,100.0,0,,,,0.0,0.0,0.0,True
2022-03,463585,100.0,0,,,,0.0,0.0,0.0,True
2022-04,454657,100.0,0,,,,0.0,0.0,0.0,True
2022-05,446017,100.0,0,,,,0.0,0.0,0.0,True
2022-06,437089,100.0,0,,,,0.0,0.0,0.0,True
2022-07,428449,100.0,0,,,,0.0,0.0,0.0,True
2022-08,419521,100.0,0,,,,0.0,0.0,0.0,True
2022-09,410593,100.0,0,,,,0.0,0.0,0.0,True
2022-10,401954,100.0,0,,,,0.0,0.0,0.0,True
2022-11,393026,100.0,0,,,,0.0,0.0,0.0,True
2022-12,384386,100.0,0,,,,0.0,0.0,0.0,True
2023-01,375458,100.0,0,,,,0.0,0.0,0.0,True
2023-02,366530,100.0,0,,,,0.0,0.0,0.0,True
2023-03,358466,100.0,0,,,,0.0,0.0,0.0,True
2023-04,349538,100.0,0,,,,0.0,0.0,0.0,True
2023-05,340898,100.0,0,,,,0.0,0.0,0.0,True
2023-06,331970,100.0,0,,,,0.0,0.0,0.0,True
2023-07,323330,100.0,0,,,,0.0,0.0,0.0,True
2023-08,314402,100.0,0,,,,0.0,0.0,0.0,True
2023-09,305474,100.0,0,,,,0.0,0.0,0.0,True
2023-10,296834,100.0,0,,,,0.0,0.0,0.0,True
2023-11,287906,100.0,0,,,,0.0,0.0,0.0,True
2023-12,8929,100.0,0,99.98880053757419,100.0,100.0,0.0,0.0,0.0,True
