C,NEM,SRRES,NEMMCO,PUBLIC,"2026/06/30 16:07:36"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2027Q4T03, VersionNo 2",C2027Q4T03,2
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T03,2,NSW1-QLD1,NSW1,64,62,8280,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T03,2,NSW1-QLD1,QLD1,114,108,20053,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T03,2,V-SA,SA1,64,64,5003,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T03,2,V-SA,VIC1,80,73,10308.76,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T03,2,VIC1-NSW1,NSW1,108,108,1903,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T03,2,VIC1-NSW1,VIC1,119,119,14582.7,0
C,END OF REPORT,10
