C,NEM,SRRES,NEMMCO,PUBLIC,"2026/06/30 15:18:24"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2027Q2T01, VersionNo 3",C2027Q2T01,3
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T01,3,NSW1-QLD1,NSW1,62,62,3604.25,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T01,3,NSW1-QLD1,QLD1,108,108,38904.13,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T01,3,V-SA,SA1,64,64,2924.21,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T01,3,V-SA,VIC1,73,73,7003,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T01,3,VIC1-NSW1,NSW1,108,108,1184,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T01,3,VIC1-NSW1,VIC1,100,100,13080.05,0
C,END OF REPORT,10
