C,NEM,SRRES,NEMMCO,PUBLIC,"2026/06/30 16:07:18"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2026Q4T06, VersionNo 7",C2026Q4T06,7
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T06,7,NSW1-QLD1,NSW1,45,45,10115,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T06,7,NSW1-QLD1,QLD1,123,100,18907,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T06,7,V-SA,SA1,91,86,5103,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T06,7,V-SA,VIC1,95,95,13015.21,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T06,7,VIC1-NSW1,NSW1,108,108,2038.3,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T06,7,VIC1-NSW1,VIC1,195,118,17150,0
C,END OF REPORT,10
