C,NEM,SRRES,NEMMCO,PUBLIC,"2026/06/30 15:18:27"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2025Q1T11, VersionNo 3",C2025Q1T11,3
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2025Q1T11,3,NSW1-QLD1,NSW1,83,45,23755,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q1T11,3,NSW1-QLD1,QLD1,191,105,21432.59,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q1T11,3,V-SA,SA1,114,72,7365,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q1T11,3,V-SA,VIC1,135,82,27247,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q1T11,3,VIC1-NSW1,NSW1,235,110,5392.78,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q1T11,3,VIC1-NSW1,VIC1,282,135,18054.75,0
C,END OF REPORT,10
