C,NEM,SRRES,NEMMCO,PUBLIC,"2026/07/01 15:05:36"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2027Q4T01, VersionNo 6",C2027Q4T01,6
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T01,6,NSW1-QLD1,NSW1,62,62,9375,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T01,6,NSW1-QLD1,QLD1,108,108,19253,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T01,6,V-SA,SA1,64,64,4753,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T01,6,V-SA,VIC1,63,63,9978.5,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T01,6,VIC1-NSW1,NSW1,108,108,1620,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T01,6,VIC1-NSW1,VIC1,120,120,14835,0
C,END OF REPORT,10
