C,NEM,SRRES,NEMMCO,PUBLIC,"2026/07/01 15:05:19"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2025Q2T11, VersionNo 6",C2025Q2T11,6
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2025Q2T11,6,NSW1-QLD1,NSW1,66,45,5824,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q2T11,6,NSW1-QLD1,QLD1,193,100,34750.76,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q2T11,6,V-SA,SA1,129,64,6360,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q2T11,6,V-SA,VIC1,121,73,18598.8,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q2T11,6,VIC1-NSW1,NSW1,222,114,4019,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q2T11,6,VIC1-NSW1,VIC1,285,136,21480.94,0
C,END OF REPORT,10
