C,NEM,SRRES,NEMMCO,PUBLIC,"2026/06/30 15:18:28"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2025Q2T10, VersionNo 3",C2025Q2T10,3
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2025Q2T10,3,NSW1-QLD1,NSW1,55,45,4404.97,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q2T10,3,NSW1-QLD1,QLD1,225,100,29200.23,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q2T10,3,V-SA,SA1,110,66,5606,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q2T10,3,V-SA,VIC1,113,73,16908,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q2T10,3,VIC1-NSW1,NSW1,275,113,3226,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q2T10,3,VIC1-NSW1,VIC1,315,136,19400.9,0
C,END OF REPORT,10
