C,NEM,SRRES,NEMMCO,PUBLIC,"2026/07/01 09:26:55"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2026Q3T09, VersionNo 4",C2026Q3T09,4
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T09,4,NSW1-QLD1,NSW1,62,55,4800.31,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T09,4,NSW1-QLD1,QLD1,140,100,32081,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T09,4,V-SA,SA1,110,69,4680.18,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T09,4,V-SA,VIC1,125,83,16380,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T09,4,VIC1-NSW1,NSW1,119,108,3582,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T09,4,VIC1-NSW1,VIC1,189,125,18856.02,0
C,END OF REPORT,10
