C,NEM,SRRES,NEMMCO,PUBLIC,"2026/07/02 11:01:53"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2027Q4T02, VersionNo 11",C2027Q4T02,11
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T02,11,NSW1-QLD1,NSW1,62,62,9345.36,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T02,11,NSW1-QLD1,QLD1,110,108,20053,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T02,11,V-SA,SA1,64,64,5251.77,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T02,11,V-SA,VIC1,62,62,11103,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T02,11,VIC1-NSW1,NSW1,101,101,1853,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T02,11,VIC1-NSW1,VIC1,115,113,16203,0
C,END OF REPORT,10
