C,NEM,SRRES,NEMMCO,PUBLIC,"2026/06/30 15:18:34"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2026Q3T05, VersionNo 3",C2026Q3T05,3
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T05,3,NSW1-QLD1,NSW1,47,45,4174.28,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T05,3,NSW1-QLD1,QLD1,149,100,32080.23,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T05,3,V-SA,SA1,94,64,4857.6,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T05,3,V-SA,VIC1,98,73,15300.01,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T05,3,VIC1-NSW1,NSW1,109,109,2782.22,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T05,3,VIC1-NSW1,VIC1,225,125,17150,0
C,END OF REPORT,10
