C,NEM,SRRES,NEMMCO,PUBLIC,"2026/07/02 13:06:25"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2027Q4T04, VersionNo 8",C2027Q4T04,8
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T04,8,NSW1-QLD1,NSW1,74,62,9364.68,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T04,8,NSW1-QLD1,QLD1,134,108,20869.11,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T04,8,V-SA,SA1,67,64,3774.39,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T04,8,V-SA,VIC1,97,67,7750.88,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T04,8,VIC1-NSW1,NSW1,104,101,1712.7,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T04,8,VIC1-NSW1,VIC1,111,96,12503,0
C,END OF REPORT,10
