C,NEM,SRRES,NEMMCO,PUBLIC,"2026/07/01 10:51:53"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2025Q4T12, VersionNo 5",C2025Q4T12,5
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2025Q4T12,5,NSW1-QLD1,NSW1,73,56,10548,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q4T12,5,NSW1-QLD1,QLD1,170,100,24118,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q4T12,5,V-SA,SA1,152,74,4822,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q4T12,5,V-SA,VIC1,114,77,9000.87,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q4T12,5,VIC1-NSW1,NSW1,157,124,2412,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q4T12,5,VIC1-NSW1,VIC1,293,131,19261.39,0
C,END OF REPORT,10
