C,NEM,SRRES,NEMMCO,PUBLIC,"2026/07/02 09:10:50"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2026Q4T08, VersionNo 6",C2026Q4T08,6
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T08,6,NSW1-QLD1,NSW1,63,53,9903,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T08,6,NSW1-QLD1,QLD1,147,107,20000,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T08,6,V-SA,SA1,71,52,4283.55,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T08,6,V-SA,VIC1,93,65,10558,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T08,6,VIC1-NSW1,NSW1,110,110,2353,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T08,6,VIC1-NSW1,VIC1,181,114,15776.87,0
C,END OF REPORT,10
