C,NEM,SRRES,NEMMCO,PUBLIC,"2026/06/15 14:23:38"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2027Q4T07, VersionNo 1",C2027Q4T07,1
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T07,1,NSW1-QLD1,NSW1,69,62,5603.56,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T07,1,NSW1-QLD1,QLD1,204,108,12786,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T07,1,T-V-MNSP1,TAS1,83,83,2632,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T07,1,T-V-MNSP1,VIC1,83,83,14144.58,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T07,1,V-SA,SA1,99,64,1003,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T07,1,V-SA,VIC1,105,74,4761.93,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T07,1,VIC1-NSW1,NSW1,158,108,907,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T07,1,VIC1-NSW1,VIC1,240,125,7322,0
C,END OF REPORT,12
