C,NEM,SRRES,NEMMCO,PUBLIC,"2026/07/01 10:52:02"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2027Q3T05, VersionNo 5",C2027Q3T05,5
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2027Q3T05,5,NSW1-QLD1,NSW1,70,62,3935.2,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q3T05,5,NSW1-QLD1,QLD1,131,108,29920.66,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q3T05,5,V-SA,SA1,68,64,4100.18,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q3T05,5,V-SA,VIC1,100,73,9961.7,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q3T05,5,VIC1-NSW1,NSW1,97,90,3057.6,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q3T05,5,VIC1-NSW1,VIC1,135,117,14500.87,0
C,END OF REPORT,10
