C,NEM,SRRES,NEMMCO,PUBLIC,"2026/07/01 15:05:01"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2025Q3T09, VersionNo 6",C2025Q3T09,6
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2025Q3T09,6,NSW1-QLD1,NSW1,49,45,4432.56,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q3T09,6,NSW1-QLD1,QLD1,193,100,30200.23,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q3T09,6,V-SA,SA1,170,73,5754.7,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q3T09,6,V-SA,VIC1,117,73,16898.38,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q3T09,6,VIC1-NSW1,NSW1,237,112,3198.44,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q3T09,6,VIC1-NSW1,VIC1,303,125,20500,0
C,END OF REPORT,10
