C,NEM,SRRES,NEMMCO,PUBLIC,"2026/06/30 15:18:16"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2024Q4T11, VersionNo 3",C2024Q4T11,3
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
C,END OF REPORT,4
