C,NEM,SRRES,NEMMCO,PUBLIC,"2026/07/01 10:50:33"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2025Q4T08, VersionNo 5",C2025Q4T08,5
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2025Q4T08,5,NSW1-QLD1,NSW1,46,45,8603,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q4T08,5,NSW1-QLD1,QLD1,197,105,17767,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q4T08,5,V-SA,SA1,158,74,4851.77,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q4T08,5,V-SA,VIC1,114,73,13520.1,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q4T08,5,VIC1-NSW1,NSW1,150,120,2216.16,0
D,RESIDUE_PUBLIC_DATA,,1,C2025Q4T08,5,VIC1-NSW1,VIC1,233,125,13970.05,0
C,END OF REPORT,10
