C,NEM,SRRES,NEMMCO,PUBLIC,"2025/06/16 14:26:44"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2026Q1T10, VersionNo 1",C2026Q1T10,1
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2026Q1T10,1,NSW1-QLD1,NSW1,62,45,19245.59,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q1T10,1,NSW1-QLD1,QLD1,130,100,23639.2,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q1T10,1,V-SA,SA1,80,68,5466.22,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q1T10,1,V-SA,VIC1,113,73,17532.03,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q1T10,1,VIC1-NSW1,NSW1,176,108,6000,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q1T10,1,VIC1-NSW1,VIC1,205,125,16403.16,0
C,END OF REPORT,10
