C,NEM,SRRES,NEMMCO,PUBLIC,"2026/03/16 14:13:32"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2027Q4T06, VersionNo 1",C2027Q4T06,1
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T06,1,NSW1-QLD1,NSW1,74,62,7277.2,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T06,1,NSW1-QLD1,QLD1,143,108,19179,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T06,1,V-SA,SA1,83,64,1380.78,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T06,1,V-SA,VIC1,111,73,4120.37,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T06,1,VIC1-NSW1,NSW1,140,108,980.46,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q4T06,1,VIC1-NSW1,VIC1,215,125,6200.19,0
C,END OF REPORT,10
