C,NEM,SRRES,NEMMCO,PUBLIC,"2026/07/01 15:05:07"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2026Q4T04, VersionNo 6",C2026Q4T04,6
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T04,6,NSW1-QLD1,NSW1,45,45,8603,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T04,6,NSW1-QLD1,QLD1,155,100,17512,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T04,6,V-SA,SA1,82,64,4670.7,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T04,6,V-SA,VIC1,68,54,11600.01,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T04,6,VIC1-NSW1,NSW1,101,101,1324.95,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T04,6,VIC1-NSW1,VIC1,172,112,13250.27,0
C,END OF REPORT,10
