C,NEM,SRRES,NEMMCO,PUBLIC,"2026/06/30 14:29:35"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2026Q4T02, VersionNo 2",C2026Q4T02,2
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T02,2,NSW1-QLD1,NSW1,45,45,8137.33,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T02,2,NSW1-QLD1,QLD1,114,100,13216.6,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T02,2,V-SA,SA1,64,64,3006,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T02,2,V-SA,VIC1,63,63,9290.77,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T02,2,VIC1-NSW1,NSW1,108,108,900,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q4T02,2,VIC1-NSW1,VIC1,109,100,11412.18,0
C,END OF REPORT,10
