C,NEM,SRRES,NEMMCO,PUBLIC,"2026/06/30 16:06:51"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2027Q2T02, VersionNo 4",C2027Q2T02,4
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
C,END OF REPORT,4
