C,NEM,SRRES,NEMMCO,PUBLIC,"2026/07/01 10:51:50"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2028Q2T01, VersionNo 4",C2028Q2T01,4
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2028Q2T01,4,NSW1-QLD1,NSW1,62,62,4476.45,0
D,RESIDUE_PUBLIC_DATA,,1,C2028Q2T01,4,NSW1-QLD1,QLD1,108,108,30360,0
D,RESIDUE_PUBLIC_DATA,,1,C2028Q2T01,4,V-SA,SA1,64,64,4082,0
D,RESIDUE_PUBLIC_DATA,,1,C2028Q2T01,4,V-SA,VIC1,73,73,10836.31,0
D,RESIDUE_PUBLIC_DATA,,1,C2028Q2T01,4,VIC1-NSW1,NSW1,95,95,3050.22,0
D,RESIDUE_PUBLIC_DATA,,1,C2028Q2T01,4,VIC1-NSW1,VIC1,117,117,13950,0
C,END OF REPORT,10
