C,NEM,SRRES,NEMMCO,PUBLIC,"2026/07/01 10:52:01"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2027Q2T06, VersionNo 5",C2027Q2T06,5
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T06,5,NSW1-QLD1,NSW1,89,62,3822,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T06,5,NSW1-QLD1,QLD1,135,108,31450,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T06,5,V-SA,SA1,68,64,3894.3,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T06,5,V-SA,VIC1,129,73,9443,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T06,5,VIC1-NSW1,NSW1,87,87,3358,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T06,5,VIC1-NSW1,VIC1,179,110,12280.87,0
C,END OF REPORT,10
