C,NEM,SRRES,NEMMCO,PUBLIC,"2026/06/30 14:30:04"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2027Q2T02, VersionNo 2",C2027Q2T02,2
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T02,2,NSW1-QLD1,NSW1,69,62,3363.97,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T02,2,NSW1-QLD1,QLD1,126,108,30576,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T02,2,V-SA,SA1,64,64,4767,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T02,2,V-SA,VIC1,94,73,8500.01,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T02,2,VIC1-NSW1,NSW1,108,108,1618.13,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T02,2,VIC1-NSW1,VIC1,150,125,11600.27,0
C,END OF REPORT,10
