C,NEM,SRRES,NEMMCO,PUBLIC,"2026/07/02 14:03:44"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2028Q3T01, VersionNo 9",C2028Q3T01,9
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2028Q3T01,9,NSW1-QLD1,NSW1,62,62,3864,0
D,RESIDUE_PUBLIC_DATA,,1,C2028Q3T01,9,NSW1-QLD1,QLD1,108,108,30817.84,0
D,RESIDUE_PUBLIC_DATA,,1,C2028Q3T01,9,V-SA,SA1,64,64,3803,0
D,RESIDUE_PUBLIC_DATA,,1,C2028Q3T01,9,V-SA,VIC1,73,73,9253,0
D,RESIDUE_PUBLIC_DATA,,1,C2028Q3T01,9,VIC1-NSW1,NSW1,83,83,4000,0
D,RESIDUE_PUBLIC_DATA,,1,C2028Q3T01,9,VIC1-NSW1,VIC1,107,107,12219.2,0
C,END OF REPORT,10
