C,NEM,SRRES,NEMMCO,PUBLIC,"2026/06/30 14:29:35"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2026Q3T03, VersionNo 2",C2026Q3T03,2
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T03,2,NSW1-QLD1,NSW1,45,45,4592.64,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T03,2,NSW1-QLD1,QLD1,110,100,28327.21,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T03,2,V-SA,SA1,82,64,3103,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T03,2,V-SA,VIC1,92,73,11958.23,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T03,2,VIC1-NSW1,NSW1,108,108,990.93,0
D,RESIDUE_PUBLIC_DATA,,1,C2026Q3T03,2,VIC1-NSW1,VIC1,155,125,15720.02,0
C,END OF REPORT,10
