C,NEM,SRRES,NEMMCO,PUBLIC,"2026/05/08 10:55:28"
C,"SETTLEMENTS RESIDUE CONTRACT REPORT","For Contract ID C2027Q2T04, VersionNo 2",C2027Q2T04,2
I,RESIDUE_PUBLIC_DATA,,1,CONTRACTID,VERSIONNO,INTERCONNECTORID,FROMREGIONID,UNITSOFFERED,UNITSSOLD,CLEARINGPRICE,RESERVEPRICE
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T04,2,NSW1-QLD1,NSW1,79,62,4730.25,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T04,2,NSW1-QLD1,QLD1,157,108,33680.5,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T04,2,V-SA,SA1,69,69,5103,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T04,2,V-SA,VIC1,96,73,11503,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T04,2,VIC1-NSW1,NSW1,108,108,2773.56,0
D,RESIDUE_PUBLIC_DATA,,1,C2027Q2T04,2,VIC1-NSW1,VIC1,154,125,15737.7,0
C,END OF REPORT,10
