quarter,model_risk_discount,liquidity_discount,total_discount,discount_shortfall,mape_actual_per_unit,mape_clearing_price,weighted_score
C2025Q3,0.05,0.05,0.1,0.0,9.999977812053515,170.2355201454976,74.09419474543115
C2025Q3,0.01,0.09,0.09999999999999999,1.3877787807814457e-17,9.999977812053515,170.2355201454976,74.09419474543115
C2025Q3,0.07,0.03,0.1,0.0,9.999977812053515,170.2355201454976,74.09419474543115
C2025Q3,0.06,0.04,0.1,0.0,9.999977812053515,170.2355201454976,74.09419474543115
C2025Q3,0.08,0.02,0.1,0.0,9.999977812053515,170.2355201454976,74.09419474543115
C2025Q3,0.0,0.1,0.1,0.0,9.999977812053515,170.2355201454976,74.09419474543115
C2025Q3,0.04,0.06,0.1,0.0,9.999977812053515,170.2355201454976,74.09419474543115
C2025Q3,0.03,0.07,0.1,0.0,9.999977812053515,170.2355201454976,74.09419474543115
C2025Q3,0.1,0.0,0.1,0.0,9.999977812053515,170.2355201454976,74.09419474543115
C2025Q3,0.09,0.01,0.09999999999999999,1.3877787807814457e-17,9.999977812053515,170.2355201454976,74.09419474543115
C2025Q3,0.02,0.08,0.1,0.0,9.999977812053515,170.2355201454976,74.09419474543115
C2025Q3,0.04,0.05,0.09,0.010000000000000009,9.00001214339202,170.16938147554538,74.46775987625335
C2025Q3,0.0,0.09,0.09,0.010000000000000009,9.00001214339202,170.16938147554538,74.46775987625335
C2025Q3,0.03,0.06,0.09,0.010000000000000009,9.00001214339202,170.16938147554538,74.46775987625335
C2025Q3,0.09,0.0,0.09,0.010000000000000009,9.00001214339202,170.16938147554538,74.46775987625335
C2025Q3,0.08,0.01,0.09,0.010000000000000009,9.00001214339202,170.16938147554538,74.46775987625335
C2025Q3,0.05,0.04,0.09,0.010000000000000009,9.00001214339202,170.16938147554538,74.46775987625335
C2025Q3,0.07,0.02,0.09000000000000001,0.009999999999999995,9.00001214339202,170.16938147554538,74.46775987625335
C2025Q3,0.01,0.08,0.09,0.010000000000000009,9.00001214339202,170.16938147554538,74.46775987625335
C2025Q3,0.02,0.07,0.09000000000000001,0.009999999999999995,9.00001214339202,170.16938147554538,74.46775987625335
C2025Q3,0.06,0.03,0.09,0.010000000000000009,9.00001214339202,170.16938147554538,74.46775987625335
C2025Q3,0.07,0.04,0.11000000000000001,0.0,10.999996217322758,170.30169521419933,74.72067581607338
C2025Q3,0.02,0.09,0.11,0.0,10.999996217322758,170.30169521419933,74.72067581607338
C2025Q3,0.05,0.06,0.11,0.0,10.999996217322758,170.30169521419933,74.72067581607338
C2025Q3,0.03,0.08,0.11,0.0,10.999996217322758,170.30169521419933,74.72067581607338
C2025Q3,0.08,0.03,0.11,0.0,10.999996217322758,170.30169521419933,74.72067581607338
C2025Q3,0.1,0.01,0.11,0.0,10.999996217322758,170.30169521419933,74.72067581607338
C2025Q3,0.09,0.02,0.11,0.0,10.999996217322758,170.30169521419933,74.72067581607338
C2025Q3,0.04,0.07,0.11000000000000001,0.0,10.999996217322758,170.30169521419933,74.72067581607338
C2025Q3,0.01,0.1,0.11,0.0,10.999996217322758,170.30169521419933,74.72067581607338
C2025Q3,0.06,0.05,0.11,0.0,10.999996217322758,170.30169521419933,74.72067581607338
C2025Q3,0.06,0.02,0.08,0.020000000000000004,8.000004197817004,170.08342412799007,74.83337216988623
C2025Q3,0.03,0.05,0.08,0.020000000000000004,8.000004197817004,170.08342412799007,74.83337216988623
C2025Q3,0.04,0.04,0.08,0.020000000000000004,8.000004197817004,170.08342412799007,74.83337216988623
C2025Q3,0.07,0.01,0.08,0.020000000000000004,8.000004197817004,170.08342412799007,74.83337216988623
C2025Q3,0.02,0.06,0.08,0.020000000000000004,8.000004197817004,170.08342412799007,74.83337216988623
C2025Q3,0.0,0.08,0.08,0.020000000000000004,8.000004197817004,170.08342412799007,74.83337216988623
C2025Q3,0.05,0.03,0.08,0.020000000000000004,8.000004197817004,170.08342412799007,74.83337216988623
C2025Q3,0.01,0.07,0.08,0.020000000000000004,8.000004197817004,170.08342412799007,74.83337216988623
C2025Q3,0.08,0.0,0.08,0.020000000000000004,8.000004197817004,170.08342412799007,74.83337216988623
C2025Q3,0.07,0.0,0.07,0.03,6.999987305245064,169.9393942760707,75.17575009357532
C2025Q3,0.0,0.07,0.07,0.03,6.999987305245064,169.9393942760707,75.17575009357532
C2025Q3,0.04,0.03,0.07,0.03,6.999987305245064,169.9393942760707,75.17575009357532
C2025Q3,0.05,0.02,0.07,0.03,6.999987305245064,169.9393942760707,75.17575009357532
C2025Q3,0.01,0.06,0.06999999999999999,0.030000000000000013,6.999987305245064,169.9393942760707,75.17575009357532
C2025Q3,0.02,0.05,0.07,0.03,6.999987305245064,169.9393942760707,75.17575009357532
C2025Q3,0.03,0.04,0.07,0.03,6.999987305245064,169.9393942760707,75.17575009357532
C2025Q3,0.06,0.01,0.06999999999999999,0.030000000000000013,6.999987305245064,169.9393942760707,75.17575009357532
C2025Q3,0.06,0.06,0.12,0.0,12.000004008095582,170.36787028290107,75.34715051801777
C2025Q3,0.1,0.02,0.12000000000000001,0.0,12.000004008095582,170.36787028290107,75.34715051801777
C2025Q3,0.07,0.05,0.12000000000000001,0.0,12.000004008095582,170.36787028290107,75.34715051801777
C2025Q3,0.08,0.04,0.12,0.0,12.000004008095582,170.36787028290107,75.34715051801777
C2025Q3,0.09,0.03,0.12,0.0,12.000004008095582,170.36787028290107,75.34715051801777
C2025Q3,0.05,0.07,0.12000000000000001,0.0,12.000004008095582,170.36787028290107,75.34715051801777
C2025Q3,0.04,0.08,0.12,0.0,12.000004008095582,170.36787028290107,75.34715051801777
C2025Q3,0.02,0.1,0.12000000000000001,0.0,12.000004008095582,170.36787028290107,75.34715051801777
C2025Q3,0.03,0.09,0.12,0.0,12.000004008095582,170.36787028290107,75.34715051801777
C2025Q3,0.05,0.01,0.060000000000000005,0.04,5.999978001774937,169.79536442415133,75.5181325707255
C2025Q3,0.0,0.06,0.06,0.04000000000000001,5.999978001774937,169.79536442415133,75.5181325707255
C2025Q3,0.04,0.02,0.06,0.04000000000000001,5.999978001774937,169.79536442415133,75.5181325707255
C2025Q3,0.01,0.05,0.060000000000000005,0.04,5.999978001774937,169.79536442415133,75.5181325707255
C2025Q3,0.02,0.04,0.06,0.04000000000000001,5.999978001774937,169.79536442415133,75.5181325707255
C2025Q3,0.03,0.03,0.06,0.04000000000000001,5.999978001774937,169.79536442415133,75.5181325707255
C2025Q3,0.06,0.0,0.06,0.04000000000000001,5.999978001774937,169.79536442415133,75.5181325707255
C2025Q3,0.05,0.0,0.05,0.05,5.000010037283385,169.65137097098147,75.86055441076262
C2025Q3,0.0,0.05,0.05,0.05,5.000010037283385,169.65137097098147,75.86055441076262
C2025Q3,0.01,0.04,0.05,0.05,5.000010037283385,169.65137097098147,75.86055441076262
C2025Q3,0.03,0.02,0.05,0.05,5.000010037283385,169.65137097098147,75.86055441076262
C2025Q3,0.02,0.03,0.05,0.05,5.000010037283385,169.65137097098147,75.86055441076262
C2025Q3,0.04,0.01,0.05,0.05,5.000010037283385,169.65137097098147,75.86055441076262
C2025Q3,0.07,0.06,0.13,0.0,13.000007068222189,170.4340453516028,75.97362238157444
C2025Q3,0.08,0.05,0.13,0.0,13.000007068222189,170.4340453516028,75.97362238157444
C2025Q3,0.03,0.1,0.13,0.0,13.000007068222189,170.4340453516028,75.97362238157444
C2025Q3,0.05,0.08,0.13,0.0,13.000007068222189,170.4340453516028,75.97362238157444
C2025Q3,0.09,0.04,0.13,0.0,13.000007068222189,170.4340453516028,75.97362238157444
C2025Q3,0.1,0.03,0.13,0.0,13.000007068222189,170.4340453516028,75.97362238157444
C2025Q3,0.06,0.07,0.13,0.0,13.000007068222189,170.4340453516028,75.97362238157444
C2025Q3,0.04,0.09,0.13,0.0,13.000007068222189,170.4340453516028,75.97362238157444
C2025Q3,0.0,0.04,0.04,0.060000000000000005,3.999993927844194,169.5073411190621,76.20293280433135
C2025Q3,0.02,0.02,0.04,0.060000000000000005,3.999993927844194,169.5073411190621,76.20293280433135
C2025Q3,0.03,0.01,0.04,0.060000000000000005,3.999993927844194,169.5073411190621,76.20293280433135
C2025Q3,0.01,0.03,0.04,0.060000000000000005,3.999993927844194,169.5073411190621,76.20293280433135
C2025Q3,0.04,0.0,0.04,0.060000000000000005,3.999993927844194,169.5073411190621,76.20293280433135
C2025Q3,0.03,0.0,0.03,0.07,2.9999861370713683,169.36331126714273,76.54531618909992
C2025Q3,0.02,0.01,0.03,0.07,2.9999861370713683,169.36331126714273,76.54531618909992
C2025Q3,0.0,0.03,0.03,0.07,2.9999861370713683,169.36331126714273,76.54531618909992
C2025Q3,0.01,0.02,0.03,0.07,2.9999861370713683,169.36331126714273,76.54531618909992
C2025Q3,0.08,0.06,0.14,0.0,13.999979542852742,170.50018402155501,76.60006133433365
C2025Q3,0.09,0.05,0.14,0.0,13.999979542852742,170.50018402155501,76.60006133433365
C2025Q3,0.07,0.07,0.14,0.0,13.999979542852742,170.50018402155501,76.60006133433365
C2025Q3,0.04,0.1,0.14,0.0,13.999979542852742,170.50018402155501,76.60006133433365
C2025Q3,0.1,0.04,0.14,0.0,13.999979542852742,170.50018402155501,76.60006133433365
C2025Q3,0.06,0.08,0.14,0.0,13.999979542852742,170.50018402155501,76.60006133433365
C2025Q3,0.05,0.09,0.14,0.0,13.999979542852742,170.50018402155501,76.60006133433365
C2025Q3,0.01,0.01,0.02,0.08,1.999983076944768,169.21928141522335,76.8877024122562
C2025Q3,0.02,0.0,0.02,0.08,1.999983076944768,169.21928141522335,76.8877024122562
C2025Q3,0.0,0.02,0.02,0.08,1.999983076944768,169.21928141522335,76.8877024122562
C2025Q3,0.07,0.08,0.15000000000000002,0.0,14.99998884632287,170.56635909025675,77.22653694389642
C2025Q3,0.08,0.07,0.15000000000000002,0.0,14.99998884632287,170.56635909025675,77.22653694389642
C2025Q3,0.06,0.09,0.15,0.0,14.99998884632287,170.56635909025675,77.22653694389642
C2025Q3,0.09,0.06,0.15,0.0,14.99998884632287,170.56635909025675,77.22653694389642
C2025Q3,0.1,0.05,0.15000000000000002,0.0,14.99998884632287,170.56635909025675,77.22653694389642
C2025Q3,0.05,0.1,0.15000000000000002,0.0,14.99998884632287,170.56635909025675,77.22653694389642
C2025Q3,0.01,0.0,0.01,0.09000000000000001,1.000017408283276,169.07528796205352,77.23012562979137
C2025Q3,0.0,0.01,0.01,0.09000000000000001,1.000017408283276,169.07528796205352,77.23012562979137
C2025Q3,0.0,0.0,0.0,0.1,5.4928769194028855e-06,168.93125811013414,77.57250653977981
C2025Q3,0.09,0.07,0.16,0.0,15.999998932925752,170.59054193967668,77.83621613562613
C2025Q3,0.08,0.08,0.16,0.0,15.999998932925752,170.59054193967668,77.83621613562613
C2025Q3,0.07,0.09,0.16,0.0,15.999998932925752,170.59054193967668,77.83621613562613
C2025Q3,0.06,0.1,0.16,0.0,15.999998932925752,170.59054193967668,77.83621613562613
C2025Q3,0.1,0.06,0.16,0.0,15.999998932925752,170.59054193967668,77.83621613562613
C2025Q3,0.09,0.08,0.16999999999999998,0.0,17.00000672369858,170.52966588301967,78.41187038742702
C2025Q3,0.08,0.09,0.16999999999999998,0.0,17.00000672369858,170.52966588301967,78.41187038742702
C2025Q3,0.07,0.1,0.17,0.0,17.00000672369858,170.52966588301967,78.41187038742702
C2025Q3,0.1,0.07,0.17,0.0,17.00000672369858,170.52966588301967,78.41187038742702
C2025Q3,0.09,0.09,0.18,0.0,17.999980711026435,170.4687534276131,78.9874897976611
C2025Q3,0.1,0.08,0.18,0.0,17.999980711026435,170.4687534276131,78.9874897976611
