asset_code,asset_name,network,state,latitude,longitude,capacity_mva,peak_demand_mva,available_mva,annual_deferral_aud,aug_cost_aud,proposed_timing,asset_category,data_year,data_source_file,built_at
AS_SLE,SALE,AusNet Services,VIC,-38.10125,147.09592,,,-0.0,0.0,0.0,2023,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_TGN,TRARALGON,AusNet Services,VIC,-38.18926,146.56011,,,-7640000.0,740000.0,0.0,2030,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_TT,THOMASTOWN,AusNet Services,VIC,-37.69088,145.01077,,,-6750000.0,660000.0,0.0,2030,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_WGL,WARRAGUL,AusNet Services,VIC,-38.15383,145.94307,,,-0.0,0.0,0.0,2027,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_WT,WATSONIA,AusNet Services,VIC,-37.71335,145.08575,,,-0.0,0.0,0.0,2027,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
CP_B,COLLINGWOOD B,CitiPower,VIC,-37.806827,144.99128,,,-12200000.0,940000.0,0.0,2026,"Summer, Winter",2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_BQ,BOUVERIE/QUEENS,CitiPower,VIC,-37.805209,144.961347,,,-4500000.0,350000.0,4500000.0,2028,"Summer, Winter",2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_F,FITZROY,CitiPower,VIC,-37.787322,144.989626,,,-56700000.0,4370000.0,56700000.0,2028,"Summer, Winter",2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_PM,PORT MELBOURNE,CitiPower,VIC,-37.832811,144.925983,,,-17500000.0,1350000.0,17500000.0,2028,"Summer, Winter",2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_R,RICHMOND,CitiPower,VIC,-37.832457,144.993954,,,-70000000.0,5390000.0,70000000.0,2028,"Summer, Winter",2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_AP,ALBERT PARK,CitiPower,VIC,-37.836781,144.958192,,,-1600000.0,120000.0,0.0,2024,Summer,2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_FB,FISHERMANS BEND,CitiPower,VIC,-37.824652,144.910653,,,-1700000.0,130000.0,0.0,2025,Winter,2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_NR,NORTH RICHMOND,CitiPower,VIC,-37.8140979,144.9988229,,,-3800000.0,290000.0,0.0,2027,Summer,2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_TK,TOORAK,CitiPower,VIC,-37.843783,145.004572,,,-1200000.0,90000.0,0.0,2026,"Summer, Winter",2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_WA,HEFFERNAN LANE,CitiPower,VIC,-37.81158591,144.9663893,,,-4000000.0,310000.0,0.0,2028,Summer,2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_JA,LITTLE BOURKE STREET,CitiPower,VIC,-37.81574286,144.9534124,,,-1200000.0,90000.0,0.0,2024,"Summer, Winter",2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_B-CW,COLLINGWOOD TERMINAL STATIONS,CitiPower,VIC,-37.806827,144.99128,,,-150000.0,10000.0,150000.0,2026,Summer,2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_BTS-F189,BRUNSWICK TERMINAL STATION TO FITZROY - F189,CitiPower,VIC,-37.772754,144.984504,,,-67900000.0,5230000.0,67900000.0,2026,"Summer, Winter",2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_BTS-F179,BRUNSWICK TERMINAL STATION TO FITZROY - F179,CitiPower,VIC,-37.772754,144.984504,,,-67900000.0,5230000.0,67900000.0,2026,"Summer, Winter",2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_RTS-R135,RICHMOND SUBSTATION TO RICHMOND TERMINAL STATION - R135,CitiPower,VIC,-37.832457,144.993954,,,-70000000.0,5390000.0,70000000.0,2026,"Summer, Winter",2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
CP_RTS-R136,RICHMOND SUBSTATION TO RICHMOND TERMINAL STATION - R136,CitiPower,VIC,-37.832457,144.993954,,,-70000000.0,5390000.0,70000000.0,2026,"Summer, Winter",2025,Dec 2023 DAPR (annual data); Dec 2021 DAPR (load trace data); (No CitiPower review),2026-05-08T14:08:45.864833
EE_9604,AMBARVALE,Endeavour Energy,NSW,-34.100323,150.791926,,,-19700000.0,1130000.0,19700000.0,2028,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EE_9804,BOX HILL,Endeavour Energy,NSW,-33.637224,150.898978,,,-18000000.0,1040000.0,18000000.0,2028,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EE_9707,EASTERN CREEK,Endeavour Energy,NSW,-33.812302,150.833287,,,-4800000.0,280000.0,4800000.0,2029,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EE_9700,KEMBLA GRANGE,Endeavour Energy,NSW,-34.468337,150.805984,,,-24400000.0,1410000.0,24400000.0,2030,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EE_9536,LUDDENHAM,Endeavour Energy,NSW,-33.838821,150.684136,,,-16800000.0,970000.0,16800000.0,2028,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EE_9768,ORAN PARK,Endeavour Energy,NSW,-33.996933,150.725465,,,-26200000.0,1510000.0,26200000.0,2028,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EE_9507,RIVERSTONE,Endeavour Energy,NSW,-33.673389,150.858732,,,-25400000.0,1460000.0,25400000.0,2028,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EE_Moreton Park Road ZS,MORETON PARK ROAD,Endeavour Energy,NSW,-34.093151,150.751829,,,-20600000.0,1190000.0,20600000.0,2028,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
