quarter,interconnector_id,from_region,residue_aud
C2025Q4,N-Q-MNSP1,NSW1,-403396.9798563332
C2025Q4,N-Q-MNSP1,QLD1,2352834.568845324
C2025Q4,NSW1-QLD1,NSW1,4387937.429997334
C2025Q4,NSW1-QLD1,QLD1,32149139.091550615
C2025Q4,T-V-MNSP1,TAS1,0.0
C2025Q4,T-V-MNSP1,VIC1,0.0
C2025Q4,V-S-MNSP1,SA1,202412.46337400025
C2025Q4,V-S-MNSP1,VIC1,63307.57058233326
C2025Q4,V-SA,SA1,3691195.4635643307
C2025Q4,V-SA,VIC1,6239396.967685664
C2025Q4,VIC1-NSW1,NSW1,-13620498.360869996
C2025Q4,VIC1-NSW1,VIC1,32637470.790361684
