interconnector_id,from_region,dispatch_residue_aud,auction_netpayment_aud,delta_aud
N-Q-MNSP1,NSW1,-4477712.29564,0.0,-4477712.29564
N-Q-MNSP1,QLD1,11123034.79378,0.0,11123034.79378
NSW1-QLD1,NSW1,2611455.0417,0.0,2611455.0417
NSW1-QLD1,QLD1,184476692.2753,0.0,184476692.2753
T-V-MNSP1,TAS1,0.0,0.0,0.0
T-V-MNSP1,VIC1,0.0,0.0,0.0
V-S-MNSP1,SA1,4493513.90342,0.0,4493513.90342
V-S-MNSP1,VIC1,9647894.9708,0.0,9647894.9708
V-SA,SA1,24659726.18637,0.0,24659726.18637
V-SA,VIC1,83775074.1272,0.0,83775074.1272
VIC1-NSW1,NSW1,31092001.74382,0.0,31092001.74382
VIC1-NSW1,VIC1,194575168.46712,0.0,194575168.46712
