quarter,interconnector_id,from_region,surplus_aud
C2022Q2,N-Q-MNSP1,QLD1,1437146.8082421813
C2022Q2,NSW1-QLD1,NSW1,4931466.883199462
C2022Q2,NSW1-QLD1,QLD1,19580125.20716403
C2022Q2,T-V-MNSP1,TAS1,0.0
C2022Q2,T-V-MNSP1,VIC1,0.0
C2022Q2,V-S-MNSP1,SA1,489668.8573272504
C2022Q2,V-S-MNSP1,VIC1,3221448.3651862615
C2022Q2,V-SA,SA1,6219608.0793594895
C2022Q2,V-SA,VIC1,18443863.197871774
C2022Q2,VIC1-NSW1,NSW1,-377233.9073790909
C2022Q2,VIC1-NSW1,VIC1,90749472.71173497
C2022Q3,N-Q-MNSP1,NSW1,126609.72435022
C2022Q3,N-Q-MNSP1,QLD1,3260341.257352083
C2022Q3,NSW1-QLD1,NSW1,6785610.172253989
C2022Q3,NSW1-QLD1,QLD1,42150054.48622212
C2022Q3,T-V-MNSP1,TAS1,0.0
C2022Q3,T-V-MNSP1,VIC1,0.0
C2022Q3,V-S-MNSP1,SA1,1357646.2423207262
C2022Q3,V-S-MNSP1,VIC1,11031609.781056665
C2022Q3,V-SA,SA1,7126463.964700508
C2022Q3,V-SA,VIC1,18431720.29356719
C2022Q3,VIC1-NSW1,NSW1,5307906.450111704
C2022Q3,VIC1-NSW1,VIC1,59911339.20408951
C2022Q4,N-Q-MNSP1,NSW1,52482.04781137997
C2022Q4,N-Q-MNSP1,QLD1,1230395.3919246711
C2022Q4,NSW1-QLD1,NSW1,6852519.706485287
C2022Q4,NSW1-QLD1,QLD1,9227489.720064228
C2022Q4,T-V-MNSP1,TAS1,0.0
C2022Q4,T-V-MNSP1,VIC1,0.0
C2022Q4,V-S-MNSP1,SA1,977409.4022939196
C2022Q4,V-S-MNSP1,VIC1,2483015.864443028
C2022Q4,V-SA,SA1,6576202.650192937
C2022Q4,V-SA,VIC1,6566326.937572801
C2022Q4,VIC1-NSW1,NSW1,-4863981.147837406
C2022Q4,VIC1-NSW1,VIC1,57677646.99605584
C2023Q1,N-Q-MNSP1,NSW1,100283.23217462994
C2023Q1,N-Q-MNSP1,QLD1,1214368.554256119
C2023Q1,NSW1-QLD1,NSW1,6069382.218041337
C2023Q1,NSW1-QLD1,QLD1,10908580.144720083
C2023Q1,T-V-MNSP1,TAS1,0.0
C2023Q1,T-V-MNSP1,VIC1,0.0
C2023Q1,V-S-MNSP1,SA1,59970.61390736004
C2023Q1,V-S-MNSP1,VIC1,4245322.896961254
C2023Q1,V-SA,SA1,2805843.01796376
C2023Q1,V-SA,VIC1,17710814.87730655
C2023Q1,VIC1-NSW1,NSW1,-5264409.493116269
C2023Q1,VIC1-NSW1,VIC1,31817980.351314608
C2023Q2,N-Q-MNSP1,NSW1,45164.80510862998
C2023Q2,N-Q-MNSP1,QLD1,1405378.3203262931
C2023Q2,NSW1-QLD1,NSW1,3501768.531071541
C2023Q2,NSW1-QLD1,QLD1,26529408.222560786
C2023Q2,T-V-MNSP1,TAS1,0.0
C2023Q2,T-V-MNSP1,VIC1,0.0
C2023Q2,V-S-MNSP1,SA1,481603.86313261144
C2023Q2,V-S-MNSP1,VIC1,4669666.477263031
C2023Q2,V-SA,SA1,3281846.9601726984
C2023Q2,V-SA,VIC1,13951931.452838035
C2023Q2,VIC1-NSW1,NSW1,-4405870.7970052585
C2023Q2,VIC1-NSW1,VIC1,57548328.261126496
C2023Q3,N-Q-MNSP1,NSW1,72337.72587585002
C2023Q3,N-Q-MNSP1,QLD1,1938511.0408919535
C2023Q3,NSW1-QLD1,NSW1,607863.2981703213
C2023Q3,NSW1-QLD1,QLD1,25990335.21781047
C2023Q3,T-V-MNSP1,TAS1,0.0
C2023Q3,T-V-MNSP1,VIC1,0.0
C2023Q3,V-S-MNSP1,SA1,257581.9817874797
C2023Q3,V-S-MNSP1,VIC1,7734787.20881267
C2023Q3,V-SA,SA1,1876355.9321865076
C2023Q3,V-SA,VIC1,19914932.884348292
C2023Q3,VIC1-NSW1,NSW1,-1822836.869501408
C2023Q3,VIC1-NSW1,VIC1,48431962.36971674
C2023Q4,N-Q-MNSP1,NSW1,188972.40664015993
C2023Q4,N-Q-MNSP1,QLD1,1236005.31682037
C2023Q4,NSW1-QLD1,NSW1,10742348.950261572
C2023Q4,NSW1-QLD1,QLD1,17474150.40074117
C2023Q4,T-V-MNSP1,TAS1,0.0
C2023Q4,T-V-MNSP1,VIC1,0.0
C2023Q4,V-S-MNSP1,SA1,352797.6180810991
C2023Q4,V-S-MNSP1,VIC1,2539552.140550528
C2023Q4,V-SA,SA1,3684022.1468346193
C2023Q4,V-SA,VIC1,4277646.006174742
C2023Q4,VIC1-NSW1,NSW1,-12805471.920386976
C2023Q4,VIC1-NSW1,VIC1,26848922.29004141
C2024Q1,N-Q-MNSP1,NSW1,524858.7065499993
C2024Q1,N-Q-MNSP1,QLD1,715707.5778899969
C2024Q1,NSW1-QLD1,NSW1,16415831.541310042
C2024Q1,NSW1-QLD1,QLD1,16840567.156950008
C2024Q1,T-V-MNSP1,TAS1,0.0
C2024Q1,T-V-MNSP1,VIC1,0.0
C2024Q1,V-S-MNSP1,SA1,1591.8609099999956
C2024Q1,V-S-MNSP1,VIC1,2656980.422639991
C2024Q1,V-SA,SA1,5324449.281049956
C2024Q1,V-SA,VIC1,9707811.349509958
C2024Q1,VIC1-NSW1,NSW1,5741645.684040034
C2024Q1,VIC1-NSW1,VIC1,21692222.448550098
C2024Q2,N-Q-MNSP1,NSW1,20236.012070000063
C2024Q2,N-Q-MNSP1,QLD1,6213172.84035996
C2024Q2,NSW1-QLD1,NSW1,792262.9344900032
C2024Q2,NSW1-QLD1,QLD1,96724276.90978035
C2024Q2,T-V-MNSP1,TAS1,0.0
C2024Q2,T-V-MNSP1,VIC1,0.0
C2024Q2,V-S-MNSP1,SA1,597617.1538499998
C2024Q2,V-S-MNSP1,VIC1,2300613.2634999994
C2024Q2,V-SA,SA1,2910207.4559099916
C2024Q2,V-SA,VIC1,6070283.775789993
C2024Q2,VIC1-NSW1,NSW1,5840962.395590019
C2024Q2,VIC1-NSW1,VIC1,15490359.394709963
C2024Q3,N-Q-MNSP1,NSW1,109739.81954000004
C2024Q3,N-Q-MNSP1,QLD1,1984849.290680002
C2024Q3,NSW1-QLD1,NSW1,2462859.0527499923
C2024Q3,NSW1-QLD1,QLD1,47522702.3213297
C2024Q3,T-V-MNSP1,TAS1,0.0
C2024Q3,T-V-MNSP1,VIC1,0.0
C2024Q3,V-S-MNSP1,SA1,2362194.839310003
C2024Q3,V-S-MNSP1,VIC1,8516098.888860015
C2024Q3,V-SA,SA1,9521855.066450002
C2024Q3,V-SA,VIC1,35106145.98650997
C2024Q3,VIC1-NSW1,NSW1,7199376.243789998
C2024Q3,VIC1-NSW1,VIC1,41713205.816590026
C2024Q4,N-Q-MNSP1,NSW1,403738.62334999937
C2024Q4,N-Q-MNSP1,QLD1,1462326.899450003
C2024Q4,NSW1-QLD1,NSW1,6936483.621360002
C2024Q4,NSW1-QLD1,QLD1,45939468.89647012
C2024Q4,T-V-MNSP1,TAS1,0.0
C2024Q4,T-V-MNSP1,VIC1,0.0
C2024Q4,V-S-MNSP1,SA1,258102.74226999943
C2024Q4,V-S-MNSP1,VIC1,3373135.4376000217
C2024Q4,V-SA,SA1,3903295.662349993
C2024Q4,V-SA,VIC1,7449565.001549968
C2024Q4,VIC1-NSW1,NSW1,-31805558.846290126
C2024Q4,VIC1-NSW1,VIC1,45242095.90597025
C2025Q1,N-Q-MNSP1,NSW1,98684.9458100006
C2025Q1,N-Q-MNSP1,QLD1,1292755.6388699985
C2025Q1,NSW1-QLD1,NSW1,9975738.06230008
C2025Q1,NSW1-QLD1,QLD1,27772602.35299995
C2025Q1,T-V-MNSP1,TAS1,0.0
C2025Q1,T-V-MNSP1,VIC1,0.0
C2025Q1,V-S-MNSP1,SA1,91408.73167999984
C2025Q1,V-S-MNSP1,VIC1,943138.2528399983
C2025Q1,V-SA,SA1,1678235.028079997
C2025Q1,V-SA,VIC1,7893500.082609993
C2025Q1,VIC1-NSW1,NSW1,-6327807.609100028
C2025Q1,VIC1-NSW1,VIC1,19547005.95155999
C2025Q2,N-Q-MNSP1,NSW1,63700.388060000056
C2025Q2,N-Q-MNSP1,QLD1,7262217.357010008
C2025Q2,NSW1-QLD1,NSW1,1105982.9538799983
C2025Q2,NSW1-QLD1,QLD1,84560601.80324012
C2025Q2,T-V-MNSP1,TAS1,0.0
C2025Q2,T-V-MNSP1,VIC1,0.0
C2025Q2,V-S-MNSP1,SA1,36760.10221000018
C2025Q2,V-S-MNSP1,VIC1,1660827.851230004
C2025Q2,V-SA,SA1,2016106.8871099995
C2025Q2,V-SA,VIC1,7218300.88037004
C2025Q2,VIC1-NSW1,NSW1,-11327442.027140047
C2025Q2,VIC1-NSW1,VIC1,22729520.961500134
C2025Q3,N-Q-MNSP1,NSW1,35907.031010000064
C2025Q3,N-Q-MNSP1,QLD1,1964103.845069999
C2025Q3,NSW1-QLD1,NSW1,398295.76431000105
C2025Q3,NSW1-QLD1,QLD1,30431561.170110136
C2025Q3,T-V-MNSP1,TAS1,0.0
C2025Q3,T-V-MNSP1,VIC1,0.0
C2025Q3,V-S-MNSP1,SA1,812049.8623900021
C2025Q3,V-S-MNSP1,VIC1,1789418.2513199872
C2025Q3,V-SA,SA1,3921056.994700002
C2025Q3,V-SA,VIC1,13307369.110690003
C2025Q3,VIC1-NSW1,NSW1,4968837.091189984
C2025Q3,VIC1-NSW1,VIC1,32559583.359799907
C2025Q4,N-Q-MNSP1,NSW1,329664.1150299999
C2025Q4,N-Q-MNSP1,QLD1,2729882.9387999945
C2025Q4,NSW1-QLD1,NSW1,4198702.9619399905
C2025Q4,NSW1-QLD1,QLD1,31516278.676369905
C2025Q4,T-V-MNSP1,TAS1,0.0
C2025Q4,T-V-MNSP1,VIC1,0.0
C2025Q4,V-S-MNSP1,SA1,264286.45314
C2025Q4,V-S-MNSP1,VIC1,973994.18732
C2025Q4,V-SA,SA1,2822736.1530000027
C2025Q4,V-SA,VIC1,5957218.712970008
C2025Q4,VIC1-NSW1,NSW1,-12757834.742969967
C2025Q4,VIC1-NSW1,VIC1,32740696.07800984
C2026Q1,N-Q-MNSP1,NSW1,461041.2234200018
C2026Q1,N-Q-MNSP1,QLD1,2332014.6410200293
C2026Q1,NSW1-QLD1,NSW1,5238897.036769987
C2026Q1,NSW1-QLD1,QLD1,28195005.398020167
C2026Q1,T-V-MNSP1,TAS1,0.0
C2026Q1,T-V-MNSP1,VIC1,0.0
C2026Q1,V-S-MNSP1,SA1,-97435.99002999984
C2026Q1,V-S-MNSP1,VIC1,1799333.3658700031
C2026Q1,V-SA,SA1,324686.04205999896
C2026Q1,V-SA,VIC1,48671496.73476994
C2026Q1,VIC1-NSW1,NSW1,-6380987.104270004
C2026Q1,VIC1-NSW1,VIC1,21625400.0807201
C2026Q2,N-Q-MNSP1,NSW1,47473.661229999954
C2026Q2,N-Q-MNSP1,QLD1,763094.605759999
C2026Q2,NSW1-QLD1,NSW1,482654.6237099997
C2026Q2,NSW1-QLD1,QLD1,6946026.987230011
C2026Q2,T-V-MNSP1,TAS1,0.0
C2026Q2,T-V-MNSP1,VIC1,0.0
C2026Q2,V-S-MNSP1,SA1,-8119.980159999993
C2026Q2,V-S-MNSP1,VIC1,2580738.963060012
C2026Q2,V-SA,SA1,72648.78775999998
C2026Q2,V-SA,VIC1,9815177.862770036
C2026Q2,VIC1-NSW1,NSW1,466477.702029998
C2026Q2,VIC1-NSW1,VIC1,19703081.098089933
