quarter,interconnector_id,from_region,residue_aud
C2026Q2,N-Q-MNSP1,NSW1,28339.150276666624
C2026Q2,N-Q-MNSP1,QLD1,1426690.7708716674
C2026Q2,NSW1-QLD1,NSW1,810494.3993316671
C2026Q2,NSW1-QLD1,QLD1,13267244.371511692
C2026Q2,T-V-MNSP1,TAS1,0.0
C2026Q2,T-V-MNSP1,VIC1,0.0
C2026Q2,V-S-MNSP1,SA1,-5465028.023051669
C2026Q2,V-S-MNSP1,VIC1,3247763.2736916593
C2026Q2,V-SA,SA1,390575.20422999945
C2026Q2,V-SA,VIC1,21716053.0512233
C2026Q2,VIC1-NSW1,NSW1,1252393.1146599997
C2026Q2,VIC1-NSW1,VIC1,30801679.94484499
