quarter,interconnector_id,from_region,residue_aud
C2025Q3,N-Q-MNSP1,NSW1,-746285.3826066668
C2025Q3,N-Q-MNSP1,QLD1,1853879.440972666
C2025Q3,NSW1-QLD1,NSW1,435242.5069500004
C2025Q3,NSW1-QLD1,QLD1,30747112.87543529
C2025Q3,T-V-MNSP1,TAS1,0.0
C2025Q3,T-V-MNSP1,VIC1,0.0
C2025Q3,V-S-MNSP1,SA1,748918.9839033332
C2025Q3,V-S-MNSP1,VIC1,1607982.4951333306
C2025Q3,V-SA,SA1,4109955.3887370043
C2025Q3,V-SA,VIC1,13962516.828215994
C2025Q3,VIC1-NSW1,NSW1,5182048.003744005
C2025Q3,VIC1-NSW1,VIC1,32429194.744520012
