quarter,interconnector_id,from_region,residue_aud
C2026Q3,N-Q-MNSP1,NSW1,-82033.46226666667
C2026Q3,N-Q-MNSP1,QLD1,79090.2650783333
C2026Q3,NSW1-QLD1,NSW1,1683.7126633333337
C2026Q3,NSW1-QLD1,QLD1,2992595.2264016666
C2026Q3,T-V-MNSP1,TAS1,277622.36582333327
C2026Q3,T-V-MNSP1,VIC1,28915.907531666693
C2026Q3,V-S-MNSP1,SA1,42123.84916666667
C2026Q3,V-S-MNSP1,VIC1,400149.4546016665
C2026Q3,V-SA,SA1,267949.46962833323
C2026Q3,V-SA,VIC1,556793.9757600008
C2026Q3,VIC1-NSW1,NSW1,2569894.0202733343
C2026Q3,VIC1-NSW1,VIC1,1569240.8616333348
